H  NLA       N01-07L-2K 21996  80
   13950    4159    9791       0       0       0       0
N  564055     1 5062337 1359478 00000000000  1 0            
N  564055     2 5062337 1360518 00000000000  1 0            
N  564055     3 5062377 1359458 00000000000  2 1            
N  564055     4 5062377 1360518 00000000000  2 1            
N  564055     5 5062377 1360858 00000000000  2 1564054   105
N  564055     6 5062377 1360998 00000000000  2 1564054   106
N  564055     7 5062397 1360518 00000000000  3 0            
N  564055     8 5062487 1359408 00000000000  2 0            
N  564055     9 5062737 1359348 00000000000  2 0            
N  564055    10 5062817 1359338 00000000000  2 0            
N  564055    11 5062817 1360868 00000000000  4 0            
N  564055    12 5062837 1359338 00000000000  2 0            
N  564055    13 5063127 1360758 00000000000  4 0            
N  564055    14 5063137 1360748 00000000000  2 0            
N  564055    15 5063197 1359328 00000000000  2 0            
N  564055    16 5063247 1360648 00000000000  2 0            
N  564055    17 5063337 1360498 00000000000  2 0            
N  564055    18 5063337 1360528 00000000000  2 0            
N  564055    19 5063347 1360478 00000000000  2 0            
N  564055    20 5063447 1361158 00000000000  2 0            
N  564055    21 5063457 1359428 00000000000  2 0            
N  564055    22 5063517 1360318 00000000000  2 0            
N  564055    23 5063567 1361208 00000000000  2 0            
N  564055    24 5063627 1360218 00000000000  2 0            
N  564055    25 5063667 1359388 00000000000  2 0            
N  564055    26 5063777 1359358 00000000000  2 0            
N  564055    27 5063797 1361238 00000000000  2 0            
N  564055    28 5063827 1359338 00000000000  2 0            
N  564055    29 5064047 1359948 00000000000  2 0            
N  564055    30 5064237 1360008 00000000000  2 0            
N  564055    31 5064267 1359148 00000000000  2 0            
N  564055    32 5064397 1359218 00000000000  2 0            
N  564055    33 5064407 1361058 00000000000  2 0            
N  564055    34 5064497 1359838 00000000000  2 0            
N  564055    35 5064517 1359508 00000000000  2 0            
N  564055    36 5064627 1359158 00000000000  2 0            
N  564055    37 5064657 1361048 00000000000  2 0            
N  564055    38 5064847 1359168 00000000000  4 0            
N  564055    39 5064857 1359158 00000000000  2 0            
N  564055    40 5064867 1359108 00000000000  1 1564045    24
N  564055    41 5064867 1359428 00000000000  2 0            
N  564055    42 5064877 1359428 00000000000  2 0            
N  564055    43 5064897 1361168 00000000000  1 0            
N  564055    44 5065137 1359178 00000000000  2 0            
N  564055    45 5065317 1361338 00000000000  1 0            
N  564055    46 5065667 1359208 00000000000  2 0            
N  564055    47 5065807 1359248 00000000000  2 0            
N  564055    48 5065857 1361718 00000000000  2 0            
N  564055    49 5065867 1361728 00000000000  2 0            
N  564055    50 5065967 1359288 00000000000  2 0            
N  564055    51 5066017 1359308 00000000000  2 0            
N  564055    52 5066207 1361728 00000000000  2 0            
N  564055    53 5066377 1362088 00000000000  1 0            
N  564055    54 5066497 1359508 00000000000  2 0            
N  564055    55 5066617 1359528 00000000000  2 0            
N  564055    56 5066737 1359628 00000000000  1 0            
N  564056     1 5066737 1359628 00000000000  1 0            
N  564056     2 5066877 1359798 00000000000  2 1            
N  564056     3 5066957 1359908 00000000000  2 0            
N  564056     4 5067567 1359898 00000000000  2 0            
N  564056     5 5067887 1359748 00000000000  2 0            
N  564056     6 5068197 1359708 00000000000  2 0            
N  564056     7 5068697 1359738 00000000000  2 0            
N  564056     8 5068737 1359858 00000000000  2 0            
N  564056     9 5068867 1360028 00000000000  2 0            
