H  NLA       N01-07L-2K 21996  80
   17596    5192   12404       0       0       0       0
N  482937     1 4679748 1163872 00000000000  1 0            
N  482937     2 4679788 1163682 00000000000  2 0            
N  482937     3 4679828 1163662 00000000000  2 0            
N  482937     4 4679878 1163482 00000000000  2 0            
N  482937     5 4679918 1163392 00000000000  1 1483030     1
N  482947     1 4679688 1164692 00000000000  2 0            
N  482947     2 4679698 1164942 00000000000  2 0            
N  482947     3 4679698 1165082 00000000000  2 0            
N  482947     4 4679728 1164882 00000000000  2 0            
N  482947     5 4679738 1164362 00000000000  2 0            
N  482947     6 4679748 1163872 00000000000  1 0            
N  482947     7 4679768 1164382 00000000000  2 0            
N  482947     8 4679778 1165282 00000000000  2 0            
N  482947     9 4679788 1164112 00000000000  2 0            
N  482947    10 4679808 1165272 00000000000  2 0            
N  482947    11 4679828 1164262 00000000000  2 0            
N  482947    12 4679848 1165502 00000000000  2 0            
N  482947    13 4679868 1165572 00000000000  2 0            
N  482947    14 4679888 1165782 00000000000  1 0            
N  482947    15 4679908 1165672 00000000000  2 0            
N  483010     1 4683948 1158063 00000000000  2 0            
N  483010     2 4683958 1157933 00000000000  2 0            
N  483010     3 4683968 1158093 00000000000  2 0            
N  483010     4 4683978 1158123 00000000000  1 1483020    48
N  483010     5 4684048 1157753 00000000000  2 0            
N  483010     6 4684218 1157113 00000000000  2 0            
N  483010     7 4684218 1157203 00000000000  2 0            
N  483010     8 4684228 1157603 00000000000  2 0            
N  483010     9 4684258 1157473 00000000000  2 0            
N  483010    10 4684268 1157443 00000000000  2 0            
N  483010    11 4684388 1156553 00000000000  1 0            
N  483012     1 4690038 1155043 00000000000  1 0            
N  483012     2 4690178 1155113 00000000000  2 0            
N  483012     3 4690208 1155133 00000000000  2 0            
N  483012     4 4690618 1155363 00000000000  2 0            
N  483012     5 4690658 1155373 00000000000  2 0            
N  483012     6 4690978 1155543 00000000000  2 0            
N  483012     7 4691038 1155583 00000000000  2 0            
N  483012     8 4691187 1155653 00000000000  2 0            
N  483012     9 4691297 1155713 00000000000  2 0            
N  483012    10 4691787 1155973 00000000000  2 0            
N  483012    11 4691927 1156043 00000000000  2 0            
N  483012    12 4692007 1156093 00000000000  2 0            
N  483012    13 4692067 1156123 00000000000  2 0            
N  483012    14 4692147 1156163 00000000000  2 0            
N  483012    15 4692237 1156133 00000000000  2 0            
N  483012    16 4692237 1156213 00000000000  3 0            
N  483012    17 4692277 1156403 00000000000  2 0            
N  483012    18 4692427 1155733 00000000000  2 0            
N  483012    19 4692557 1156743 00000000000  2 0            
N  483012    20 4692627 1155333 00000000000  2 0            
N  483012    21 4692747 1157033 00000000000  2 0            
N  483012    22 4692767 1155143 00000000000  2 0            
N  483012    23 4692787 1155113 00000000000  1 0            
N  483012    24 4692837 1157223 00000000000  2 0            
N  483012    25 4693107 1157563 00000000000  2 0            
N  483012    26 4693237 1157833 00000000000  2 0            
N  483012    27 4693247 1157843 00000000000  2 0            
N  483012    28 4693347 1157843 00000000000  2 0            
N  483012    29 4693417 1157833 00000000000  1 1483013     1
N  483013     1 4693417 1157833 00000000000  1 1483012    29
N  483013     2 4693477 1157853 00000000000  2 0            
N  483013     3 4693497 1157873 00000000000  2 0            
N  483013     4 4693507 1157933 00000000000  2 0            
N  483013     5 4693607 1158053 00000000000  2 0            
N  483013     6 4693647 1158093 00000000000  1 0            
N  483013     7 4696967 1157963 00000000000  1 0            
N  483013     8 4697047 1157943 00000000000  2 0            
N  483013     9 4697647 1157923 00000000000  2 0            
N  483013    10 4697917 1157853 00000000000  1 1483014     1
N  483014     1 4697917 1157853 00000000000  1 1483013    10
N  483014     2 4698167 1157793 00000000000  2 0            
N  483014     3 4698287 1157783 00000000000  2 0            
N  483014     4 4698487 1157553 00000000000  2 0            
N  483014     5 4698847 1157243 00000000000  2 0            
N  483014     6 4698947 1157173 00000000000  2 0            
N  483014     7 4699067 1157123 00000000000  2 0            
N  483014     8 4699187 1158123 00000000000  1 1483024    15
N  483014     9 4699467 1157113 00000000000  2 0            
N  483014    10 4699627 1157133 00000000000  2 0            
N  483014    11 4699807 1158103 00000000000  1 0            
N  483014    12 4699857 1157173 00000000000  2 0            
N  483014    13 4699897 1157153 00000000000  2 0            
N  483014    14 4699937 1156863 00000000000  2 0            
N  483014    15 4699937 1157083 00000000000  2 0            
N  483014    16 4700047 1156163 00000000000  2 0            
N  483014    17 4700057 1156433 00000000000  2 0            
N  483014    18 4700207 1156063 00000000000  2 0            
N  483014    19 4700237 1156013 00000000000  2 0            
N  483014    20 4700437 1155683 00000000000  2 0            
N  483014    21 4700537 1155663 00000000000  2 0            
N  483014    22 4700587 1155653 00000000000  2 0            
N  483014    23 4700617 1155633 00000000000  2 0            
N  483014    24 4700647 1155613 00000000000  2 0            
N  483014    25 4700957 1157973 00000000000  1 0            
N  483014    26 4701027 1155513 00000000000  2 0            
N  483014    27 4701107 1155463 00000000000  2 0            
N  483014    28 4701107 1158023 00000000000  2 0            
N  483014    29 4701177 1157983 00000000000  2 0            
N  483014    30 4701197 1158003 00000000000  2 0            
N  483014    31 4701377 1158003 00000000000  2 0            
N  483014    32 4701447 1158123 00000000000  1 1483024    27
N  483014    33 4701497 1155113 00000000000  1 0            
N  483014    34 4702337 1155113 00000000000  1 0            
N  483014    35 4702417 1155293 00000000000  1 1483015     1
N  483015     1 4702417 1155293 00000000000  1 1483014    35
N  483015     2 4702497 1155353 00000000000  2 0            
N  483015     3 4702587 1155423 00000000000  2 0            
N  483015     4 4702677 1155463 00000000000  2 0            
N  483015     5 4702967 1155543 00000000000  2 0            
N  483015     6 4703137 1155553 00000000000  2 0            
N  483015     7 4703327 1155643 00000000000  2 0            
N  483015     8 4703387 1155893 00000000000  2 0            
N  483015     9 4703467 1155763 00000000000  2 0            
N  483015    10 4703477 1156083 00000000000  2 0            
N  483015    11 4703647 1156023 00000000000  2 0            
N  483015    12 4703667 1155873 00000000000  2 0            
N  483015    13 4703697 1156043 00000000000  2 0            
N  483015    14 4703847 1156203 00000000000  2 0            
N  483015    15 4704077 1156263 00000000000  2 0            
N  483015    16 4704426 1156403 00000000000  2 0            
N  483015    17 4704506 1156823 00000000000  2 0            
N  483015    18 4704656 1156853 00000000000  2 0            
N  483015    19 4704916 1156443 00000000000  2 0            
N  483015    20 4705276 1156483 00000000000  2 0            
N  483015    21 4705436 1156563 00000000000  2 0            
N  483015    22 4705556 1156743 00000000000  2 0            
N  483015    23 4705776 1156773 00000000000  2 0            
N  483015    24 4705836 1156793 00000000000  2 0            
N  483015    25 4706146 1157113 00000000000  2 0            
N  483015    26 4706466 1157133 00000000000  2 0            
N  483015    27 4706786 1157313 00000000000  1 0            
N  483016     1 4706786 1157313 00000000000  1 0            
N  483016     2 4706916 1157833 00000000000  2 1            
N  483016     3 4707346 1158083 00000000000  2 0            
N  483016     4 4707366 1158123 00000000000  1 1483026    15
N  483016     5 4708826 1155114 00000000000  1 0            
N  483016     6 4708836 1157673 00000000000  2 0            
N  483016     7 4708836 1158053 00000000000  1 0            
N  483016     8 4708846 1155194 00000000000  2 0            
N  483016     9 4708886 1157973 00000000000  2 0            
N  483016    10 4708916 1157933 00000000000  2 0            
N  483016    11 4708936 1155563 00000000000  2 0            
N  483016    12 4708946 1157343 00000000000  2 0            
N  483016    13 4708946 1157413 00000000000  2 0            
N  483016    14 4708946 1157803 00000000000  2 0            
N  483016    15 4708956 1157893 00000000000  2 0            
N  483016    16 4708966 1155893 00000000000  2 0            
N  483016    17 4708966 1157493 00000000000  2 0            
N  483016    18 4708976 1155763 00000000000  2 0            
N  483016    19 4708986 1157853 00000000000  2 0            
N  483016    20 4708996 1156073 00000000000  2 0            
N  483016    21 4709006 1156103 00000000000  2 0            
N  483016    22 4709016 1156133 00000000000  2 0            
N  483016    23 4709046 1156163 00000000000  2 0            
N  483016    24 4709076 1156183 00000000000  2 0            
N  483016    25 4709096 1156353 00000000000  2 0            
N  483016    26 4709096 1156393 00000000000  2 0            
N  483016    27 4709116 1156223 00000000000  2 0            
N  483016    28 4709126 1156363 00000000000  2 0            
N  483016    29 4709146 1156253 00000000000  2 0            
N  483016    30 4709206 1156443 00000000000  2 0            
N  483016    31 4709216 1156323 00000000000  2 0            
N  483016    32 4709216 1156333 00000000000  2 0            
N  483016    33 4709236 1156373 00000000000  2 0            
N  483016    34 4709266 1156363 00000000000  2 0            
N  483016    35 4709276 1156903 00000000000  2 0            
N  483016    36 4709286 1156263 00000000000  2 0            
N  483016    37 4709286 1156333 00000000000  2 0            
N  483016    38 4709296 1156343 00000000000  2 0            
N  483016    39 4709306 1156583 00000000000  2 0            
N  483016    40 4709326 1156283 00000000000  2 0            
N  483016    41 4709326 1156663 00000000000  2 0            
N  483016    42 4708522 1158123 00000000000  1 1483026    98
N  483016    43 4708708 1155567 00000000000  1 0            
N  483020     1 4680308 1159432 00000000000  2 0            
N  483020     2 4680308 1159672 00000000000  2 0            
N  483020     3 4680308 1159712 00000000000  2 0            
N  483020     4 4680308 1160662 00000000000  2 0            
N  483020     5 4680348 1160812 00000000000  2 0            
N  483020     6 4680388 1160632 00000000000  2 0            
N  483020     7 4680428 1161002 00000000000  2 0            
N  483020     8 4680458 1159262 00000000000  2 0            
N  483020     9 4680488 1160462 00000000000  2 0            
N  483020    10 4680508 1160172 00000000000  2 0            
N  483020    11 4680518 1160132 00000000000  2 0            
N  483020    12 4680528 1159992 00000000000  2 0            
N  483020    13 4680558 1160112 00000000000  2 0            
N  483020    14 4680618 1160002 00000000000  2 0            
N  483020    15 4680698 1161102 00000000000  2 0            
N  483020    16 4680808 1161112 00000000000  1 0            
N  483020    17 4681168 1159862 00000000000  3 0            
N  483020    18 4681218 1160082 00000000000  2 0            
N  483020    19 4681398 1159902 00000000000  2 0            
N  483020    20 4681488 1160242 00000000000  2 0            
N  483020    21 4681568 1159732 00000000000  2 0            
