H  NLA       N01-07L-2K 21996  80
   10848    3367    7481       0       0       0       0
N  543637     1 4927872 1308101 00000000000  1 0            
N  543637     2 4927982 1308081 00000000000  2 0            
N  543637     3 4928002 1306611 00000000000  2 0            
N  543637     4 4928022 1307851 00000000000  2 0            
N  543637     5 4928062 1305111 00000000000  1 1543627     8
N  543637     6 4928102 1305151 00000000000  2 0            
N  543637     7 4928102 1306841 00000000000  2 0            
N  543637     8 4928202 1307231 00000000000  2 0            
N  543637     9 4928222 1307251 00000000000  2 0            
N  543637    10 4928292 1305111 00000000000  2 1            
N  543637    11 4928382 1307491 00000000000  2 0            
N  543637    12 4928422 1305611 00000000000  2 0            
N  543637    13 4928432 1305111 00000000000  2 1            
N  543637    14 4928432 1306031 00000000000  2 0            
N  543637    15 4928442 1305771 00000000000  2 0            
N  543637    16 4928442 1305791 00000000000  2 0            
N  543637    17 4928442 1306071 00000000000  2 0            
N  543637    18 4928452 1306141 00000000000  2 0            
N  543637    19 4928462 1305561 00000000000  2 0            
N  543637    20 4928462 1306111 00000000000  2 0            
N  543637    21 4928502 1305551 00000000000  2 0            
N  543637    22 4928572 1305491 00000000000  2 0            
N  543637    23 4928602 1305461 00000000000  3 0            
N  543637    24 4928992 1305361 00000000000  2 0            
N  543637    25 4929012 1305371 00000000000  2 0            
N  543637    26 4929412 1305381 00000000000  2 0            
N  543637    27 4929592 1305441 00000000000  2 0            
N  543637    28 4929702 1305431 00000000000  2 0            
N  543637    29 4929752 1305561 00000000000  2 0            
N  543637    30 4930002 1305461 00000000000  2 0            
N  543637    31 4930332 1305741 00000000000  2 0            
N  543637    32 4930662 1305271 00000000000  2 0            
N  543637    33 4930682 1305301 00000000000  2 0            
N  543637    34 4930952 1305421 00000000000  2 0            
N  543637    35 4931092 1305421 00000000000  2 0            
N  543637    36 4931402 1305461 00000000000  2 0            
N  543637    37 4931782 1308101 00000000000  1 0            
N  543637    38 4931792 1308101 00000000000  1 0            
N  543637    39 4931892 1305551 00000000000  1 1543730     2
N  543646     1 4925153 1310840 00000000000  2 0            
N  543646     2 4925173 1310520 00000000000  2 0            
N  543646     3 4925203 1310340 00000000000  2 0            
N  543646     4 4925253 1309980 00000000000  2 0            
N  543646     5 4925302 1311110 00000000000  1 1543656    26
N  543646     6 4925372 1309560 00000000000  2 0            
N  543646     7 4925422 1309790 00000000000  2 0            
N  543646     8 4925422 1309810 00000000000  2 0            
N  543646     9 4925452 1309520 00000000000  2 0            
N  543646    10 4925662 1309411 00000000000  2 0            
N  543646    11 4925732 1309371 00000000000  2 0            
N  543646    12 4925922 1309161 00000000000  2 0            
N  543646    13 4926002 1309371 00000000000  2 0            
N  543646    14 4926052 1309191 00000000000  2 0            
N  543646    15 4926062 1309161 00000000000  2 0            
N  543646    16 4926212 1309311 00000000000  2 0            
N  543646    17 4926552 1309550 00000000000  2 0            
N  543646    18 4926892 1309670 00000000000  2 0            
N  543646    19 4926962 1309730 00000000000  2 0            
N  543646    20 4927252 1309341 00000000000  2 0            
N  543646    21 4927262 1309860 00000000000  1 0            
N  543646    22 4927292 1309551 00000000000  2 0            
N  543646    23 4927372 1308581 00000000000  1 0            
N  543646    24 4927372 1308711 00000000000  2 0            
N  543646    25 4927372 1309780 00000000000  2 0            
N  543646    26 4927392 1308751 00000000000  1 1543647     4
N  543646    27 4927392 1309251 00000000000  1 1543647     5
N  543646    28 4927392 1309800 00000000000  1 1543647     6
N  543647     1 4927262 1309860 00000000000  1 0            
N  543647     2 4927372 1308581 00000000000  1 0            
N  543647     3 4927392 1308531 00000000000  2 1            
N  543647     4 4927392 1308751 00000000000  1 1543646    26
N  543647     5 4927392 1309251 00000000000  1 1543646    27
N  543647     6 4927392 1309800 00000000000  2 1543646    28
N  543647     7 4927402 1309211 00000000000  2 0            
N  543647     8 4927412 1309830 00000000000  2 0            
N  543647     9 4927442 1309091 00000000000  2 0            
N  543647    10 4927442 1309830 00000000000  2 0            
N  543647    11 4927462 1308461 00000000000  2 0            
N  543647    12 4927482 1308991 00000000000  2 0            
N  543647    13 4927502 1308911 00000000000  2 0            
N  543647    14 4927542 1309930 00000000000  2 0            
N  543647    15 4927562 1309960 00000000000  2 0            
N  543647    16 4927582 1308341 00000000000  2 0            
N  543647    17 4927602 1310040 00000000000  2 0            
N  543647    18 4927662 1310340 00000000000  2 0            
N  543647    19 4927822 1308131 00000000000  2 0            
N  543647    20 4927872 1308101 00000000000  1 0            
N  543647    21 4927952 1310520 00000000000  2 0            
N  543647    22 4928252 1310500 00000000000  2 0            
N  543647    23 4928432 1310430 00000000000  2 0            
N  543647    24 4928612 1310340 00000000000  2 0            
N  543647    25 4929032 1310430 00000000000  2 0            
N  543647    26 4929112 1310460 00000000000  2 0            
N  543647    27 4929142 1310470 00000000000  2 0            
N  543647    28 4929322 1310610 00000000000  2 0            
N  543647    29 4929372 1310610 00000000000  2 0            
N  543647    30 4929422 1310620 00000000000  2 0            
N  543647    31 4929432 1310670 00000000000  2 0            
N  543647    32 4929432 1310690 00000000000  2 0            
N  543647    33 4929532 1310810 00000000000  2 0            
N  543647    34 4929542 1310840 00000000000  2 0            
N  543647    35 4929592 1310870 00000000000  2 0            
N  543647    36 4929662 1311110 00000000000  1 1543657    18
N  543647    37 4931422 1308741 00000000000  2 0            
N  543647    38 4931472 1309051 00000000000  2 0            
N  543647    39 4931512 1309251 00000000000  2 0            
N  543647    40 4931512 1309491 00000000000  2 0            
N  543647    41 4931542 1308421 00000000000  2 0            
N  543647    42 4931552 1309651 00000000000  2 0            
N  543647    43 4931582 1308411 00000000000  2 0            
N  543647    44 4931602 1310041 00000000000  2 0            
N  543647    45 4931652 1310011 00000000000  2 0            
N  543647    46 4931692 1310331 00000000000  2 0            
N  543647    47 4931732 1310710 00000000000  2 0            
N  543647    48 4931782 1308101 00000000000  1 0            
N  543647    49 4931892 1310930 00000000000  1 1543740     1
N  543656     1 4922793 1313950 00000000000  1 0            
N  543656     2 4922893 1313780 00000000000  2 1            
N  543656     3 4923063 1313760 00000000000  2 0            
N  543656     4 4923153 1313770 00000000000  2 0            
N  543656     5 4923383 1313700 00000000000  2 0            
N  543656     6 4923413 1313690 00000000000  2 0            
N  543656     7 4923713 1313530 00000000000  2 0            
N  543656     8 4923973 1313480 00000000000  2 0            
N  543656     9 4924373 1313470 00000000000  2 0            
N  543656    10 4924413 1313170 00000000000  2 0            
N  543656    11 4924613 1312830 00000000000  2 0            
N  543656    12 4924653 1312760 00000000000  2 0            
N  543656    13 4924773 1311720 00000000000  2 0            
N  543656    14 4924803 1311930 00000000000  2 0            
N  543656    15 4924813 1312140 00000000000  2 0            
N  543656    16 4924813 1312400 00000000000  2 0            
N  543656    17 4924823 1312050 00000000000  2 0            
N  543656    18 4924903 1312560 00000000000  2 0            
N  543656    19 4924923 1311440 00000000000  2 0            
N  543656    20 4924993 1312900 00000000000  2 0            
N  543656    21 4925012 1312960 00000000000  3 0            
N  543656    22 4925042 1312940 00000000000  2 0            
N  543656    23 4925062 1312700 00000000000  2 0            
N  543656    24 4925143 1311360 00000000000  2 0            
N  543656    25 4925172 1313140 00000000000  2 0            
N  543656    26 4925302 1311110 00000000000  1 1543646     5
N  543656    27 4925392 1313330 00000000000  2 0            
N  543656    28 4925542 1313510 00000000000  2 0            
N  543656    29 4925632 1313640 00000000000  2 0            
N  543656    30 4925842 1313710 00000000000  2 0            
N  543656    31 4926012 1313760 00000000000  2 0            
N  543656    32 4926062 1313740 00000000000  2 0            
N  543656    33 4926212 1313850 00000000000  1 0            
N  543657     1 4928192 1313000 00000000000  2 0            
N  543657     2 4928192 1313360 00000000000  2 0            
N  543657     3 4928222 1313370 00000000000  2 0            
N  543657     4 4928222 1313760 00000000000  2 0            
N  543657     5 4928232 1313140 00000000000  2 0            
N  543657     6 4928252 1313960 00000000000  2 0            
N  543657     7 4928292 1314040 00000000000  1 0            
N  543657     8 4928332 1313640 00000000000  2 0            
N  543657     9 4928382 1313590 00000000000  2 0            
N  543657    10 4928532 1312740 00000000000  2 0            
N  543657    11 4928762 1312600 00000000000  2 0            
N  543657    12 4928802 1312570 00000000000  2 0            
N  543657    13 4929092 1312340 00000000000  2 0            
N  543657    14 4929442 1312070 00000000000  2 0            
N  543657    15 4929482 1312040 00000000000  2 0            
N  543657    16 4929532 1312030 00000000000  2 0            
N  543657    17 4929592 1312030 00000000000  2 0            
N  543657    18 4929662 1311110 00000000000  1 1543647    36
N  543657    19 4929692 1311190 00000000000  2 0            
N  543657    20 4929782 1311520 00000000000  2 0            
N  543657    21 4929812 1311840 00000000000  2 0            
N  543657    22 4929832 1311330 00000000000  2 0            
N  543657    23 4929862 1311470 00000000000  2 0            
N  543657    24 4929912 1311710 00000000000  2 0            
N  543657    25 4929972 1311820 00000000000  2 0            
N  543657    26 4930172 1311610 00000000000  3 0            
N  543657    27 4930192 1311490 00000000000  2 0            
N  543657    28 4930302 1311560 00000000000  2 0            
N  543657    29 4930522 1311580 00000000000  2 0            
N  543657    30 4930532 1311590 00000000000  2 0            
N  543657    31 4930862 1312450 00000000000  2 0            
N  543657    32 4930872 1312830 00000000000  2 0            
N  543657    33 4930882 1311700 00000000000  2 0            
N  543657    34 4930932 1311690 00000000000  2 0            
N  543657    35 4930942 1312280 00000000000  2 0            
N  543657    36 4930942 1312620 00000000000  2 0            
N  543657    37 4930992 1311820 00000000000  2 0            
N  543657    38 4930992 1312920 00000000000  2 0            
N  543657    39 4931042 1311970 00000000000  2 0            
N  543657    40 4931062 1312040 00000000000  2 0            
N  543657    41 4931112 1313050 00000000000  2 0            
N  543657    42 4931182 1313110 00000000000  2 0            
N  543657    43 4931222 1313170 00000000000  2 0            
N  543657    44 4931242 1313440 00000000000  2 0            
N  543657    45 4931342 1313520 00000000000  2 0            
N  543657    46 4931452 1313610 00000000000  2 0            
N  543657    47 4931502 1313820 00000000000  2 0            
N  543657    48 4931662 1313920 00000000000  2 0            
N  543657    49 4931672 1314080 00000000000  2 0            
N  543657    50 4931682 1314110 00000000000  1 1543667   113
N  543666     1 4922893 1315760 00000000000  1 1543665   100
N  543666     2 4922963 1315790 00000000000  2 0            
N  543666     3 4923273 1315890 00000000000  2 0            
N  543666     4 4923383 1315990 00000000000  2 0            
N  543666     5 4923383 1316040 00000000000  2 0            
N  543666     6 4923443 1316090 00000000000  2 0            
