H  NLA       N01-07L-2K 21996  80
   54166   16513   37653       0       0       0       0
N  623927     1 5039504 1496612 00000000000  2 0            
N  623927     2 5039524 1496262 00000000000  2 0            
N  623927     3 5039534 1496452 00000000000  2 0            
N  623927     4 5039544 1496302 00000000000  2 0            
N  623927     5 5039544 1496532 00000000000  2 0            
N  623927     6 5039544 1497092 00000000000  1 1623937     4
N  623927     7 5039554 1496332 00000000000  2 0            
N  623927     8 5039564 1496382 00000000000  2 0            
N  623927     9 5039564 1496412 00000000000  2 0            
N  623927    10 5039564 1496522 00000000000  2 0            
N  623927    11 5039584 1496692 00000000000  2 0            
N  623927    12 5039604 1496992 00000000000  2 0            
N  623927    13 5039614 1496912 00000000000  2 0            
N  623927    14 5039634 1496862 00000000000  2 0            
N  623927    15 5039644 1495912 00000000000  2 0            
N  623927    16 5039704 1495822 00000000000  2 0            
N  623927    17 5039744 1495752 00000000000  1 0            
N  623937     1 5039474 1497242 00000000000  2 0            
N  623937     2 5039474 1497302 00000000000  2 0            
N  623937     3 5039524 1497432 00000000000  2 0            
N  623937     4 5039544 1497092 00000000000  1 1623927     6
N  623937     5 5039544 1497712 00000000000  2 0            
N  623937     6 5039544 1497782 00000000000  2 0            
N  623937     7 5039604 1498152 00000000000  2 0            
N  623937     8 5039774 1498472 00000000000  2 0            
N  623937     9 5039784 1498572 00000000000  2 0            
N  623937    10 5039814 1498592 00000000000  2 0            
N  623937    11 5039853 1498752 00000000000  2 0            
N  623937    12 5039873 1498902 00000000000  1 1624030     1
N  624001     1 5045853 1491093 00000000000  1 1624011    13
N  624001     2 5046013 1490983 00000000000  2 0            
N  624001     3 5046103 1490963 00000000000  2 0            
N  624001     4 5046333 1490733 00000000000  2 0            
N  624001     5 5046423 1490663 00000000000  2 0            
N  624001     6 5046553 1490513 00000000000  2 0            
N  624001     7 5047193 1490363 00000000000  2 0            
N  624001     8 5047363 1490563 00000000000  2 0            
N  624001     9 5047533 1490663 00000000000  2 0            
N  624001    10 5047693 1490733 00000000000  2 0            
N  624001    11 5047763 1490813 00000000000  1 0            
N  624010     1 5040554 1493712 00000000000  2 0            
N  624010     2 5040574 1493732 00000000000  2 0            
N  624010     3 5040624 1494022 00000000000  2 0            
N  624010     4 5040654 1494092 00000000000  1 1624020    12
N  624010     5 5040814 1493382 00000000000  2 0            
N  624010     6 5040924 1493302 00000000000  2 0            
N  624010     7 5041054 1493042 00000000000  2 0            
N  624010     8 5041064 1492592 00000000000  2 0            
N  624010     9 5041064 1492912 00000000000  2 0            
N  624010    10 5041174 1492463 00000000000  2 0            
N  624010    11 5041354 1492363 00000000000  2 0            
N  624010    12 5041684 1492083 00000000000  2 0            
N  624010    13 5041774 1492033 00000000000  2 0            
N  624010    14 5041954 1491893 00000000000  2 0            
N  624010    15 5042024 1491843 00000000000  2 0            
N  624010    16 5042194 1491763 00000000000  2 0            
N  624010    17 5042314 1491703 00000000000  2 0            
N  624010    18 5042714 1491403 00000000000  2 0            
N  624010    19 5042764 1491353 00000000000  2 0            
N  624010    20 5042874 1491333 00000000000  2 0            
N  624010    21 5043144 1491293 00000000000  2 0            
N  624010    22 5043294 1491283 00000000000  2 0            
N  624010    23 5043444 1491283 00000000000  2 0            
N  624010    24 5043703 1491333 00000000000  2 0            
N  624010    25 5043893 1491373 00000000000  2 0            
N  624010    26 5043983 1491403 00000000000  2 0            
