H  NLA       N01-07L-2K 21996  80
   14837    4335   10502       0       0       0       0
N  473047     1 4712856 1140075 00000000000  1 0            
N  473047     2 4712946 1140125 00000000000  2 1            
N  473047     3 4713336 1140265 00000000000  2 0            
N  473047     4 4713396 1140315 00000000000  2 0            
N  473047     5 4713526 1140395 00000000000  2 0            
N  473047     6 4713746 1140505 00000000000  2 0            
N  473047     7 4714016 1140665 00000000000  2 0            
N  473047     8 4714056 1140695 00000000000  2 0            
N  473047     9 4714396 1143125 00000000000  1 1473057    31
N  473047    10 4714596 1142845 00000000000  2 0            
N  473047    11 4714686 1142775 00000000000  2 0            
N  473047    12 4714776 1142735 00000000000  2 0            
N  473047    13 4714866 1140735 00000000000  2 0            
N  473047    14 4714916 1140795 00000000000  2 0            
N  473047    15 4714966 1142585 00000000000  2 0            
N  473047    16 4715046 1140975 00000000000  2 0            
N  473047    17 4715126 1141005 00000000000  2 0            
N  473047    18 4715176 1142425 00000000000  2 0            
N  473047    19 4715216 1141015 00000000000  2 0            
N  473047    20 4715236 1142345 00000000000  2 0            
N  473047    21 4715286 1142325 00000000000  2 0            
N  473047    22 4715526 1142195 00000000000  2 0            
N  473047    23 4715586 1142155 00000000000  2 0            
N  473047    24 4715616 1141025 00000000000  2 0            
N  473047    25 4715706 1142165 00000000000  2 0            
N  473047    26 4715756 1142175 00000000000  2 0            
N  473047    27 4715796 1142175 00000000000  1 0            
N  473047    28 4715916 1141035 00000000000  1 1473140     2
N  473057     1 4711416 1144275 00000000000  1 1473056    59
N  473057     2 4711506 1144265 00000000000  2 0            
N  473057     3 4711526 1144245 00000000000  2 0            
N  473057     4 4711546 1144225 00000000000  2 0            
N  473057     5 4711626 1144215 00000000000  2 0            
N  473057     6 4711776 1144195 00000000000  2 0            
N  473057     7 4711896 1144165 00000000000  2 0            
N  473057     8 4712126 1144075 00000000000  2 0            
N  473057     9 4712416 1143955 00000000000  2 0            
N  473057    10 4712456 1143955 00000000000  2 0            
N  473057    11 4712636 1146084 00000000000  2 0            
N  473057    12 4712636 1146124 00000000000  1 1473067    15
N  473057    13 4712666 1146074 00000000000  2 0            
N  473057    14 4712876 1143825 00000000000  2 0            
N  473057    15 4712886 1145834 00000000000  2 0            
N  473057    16 4713086 1145624 00000000000  2 0            
N  473057    17 4713216 1143785 00000000000  2 0            
N  473057    18 4713266 1143745 00000000000  2 0            
N  473057    19 4713306 1143735 00000000000  2 0            
N  473057    20 4713406 1143715 00000000000  2 0            
N  473057    21 4713616 1145335 00000000000  2 0            
N  473057    22 4713626 1143635 00000000000  2 0            
N  473057    23 4713736 1143625 00000000000  2 0            
N  473057    24 4713846 1145205 00000000000  2 0            
N  473057    25 4713906 1143505 00000000000  2 0            
N  473057    26 4714076 1143405 00000000000  2 0            
N  473057    27 4714086 1145145 00000000000  2 0            
N  473057    28 4714116 1145165 00000000000  2 0            
N  473057    29 4714146 1143395 00000000000  2 0            
N  473057    30 4714286 1143275 00000000000  2 0            
N  473057    31 4714396 1143125 00000000000  1 1473047     9
N  473057    32 4714506 1145115 00000000000  2 0            
N  473057    33 4714586 1145095 00000000000  2 0            
N  473057    34 4714596 1145065 00000000000  2 0            
N  473057    35 4714866 1144875 00000000000  2 0            
N  473057    36 4714966 1146124 00000000000  1 1473067    28
N  473057    37 4715116 1144615 00000000000  2 0            
N  473057    38 4715176 1144565 00000000000  2 0            
N  473057    39 4715256 1146074 00000000000  2 0            
N  473057    40 4715476 1144255 00000000000  2 0            
N  473057    41 4715556 1144155 00000000000  2 0            
N  473057    42 4715596 1145825 00000000000  2 0            
N  473057    43 4715606 1145805 00000000000  2 0            
N  473057    44 4715666 1144085 00000000000  1 0            
N  473057    45 4715686 1145755 00000000000  2 0            
N  473057    46 4715746 1145755 00000000000  1 0            
N  473067     1 4711416 1146684 00000000000  1 1473066    57
N  473067     2 4711546 1146684 00000000000  2 0            
N  473067     3 4711606 1146664 00000000000  2 0            
N  473067     4 4711696 1146644 00000000000  2 0            
N  473067     5 4711716 1146644 00000000000  2 0            
N  473067     6 4712006 1146634 00000000000  2 0            
N  473067     7 4712076 1146634 00000000000  2 0            
N  473067     8 4712116 1146624 00000000000  2 0            
N  473067     9 4712236 1146574 00000000000  2 0            
N  473067    10 4712316 1146514 00000000000  2 0            
N  473067    11 4712346 1146504 00000000000  3 0            
N  473067    12 4712586 1146184 00000000000  2 0            
N  473067    13 4712586 1146574 00000000000  2 0            
N  473067    14 4712626 1146584 00000000000  2 0            
N  473067    15 4712636 1146124 00000000000  1 1473057    12
N  473067    16 4712836 1146674 00000000000  2 0            
N  473067    17 4713066 1146624 00000000000  2 0            
N  473067    18 4713106 1146594 00000000000  2 0            
N  473067    19 4713376 1146684 00000000000  2 0            
N  473067    20 4713486 1146834 00000000000  2 0            
N  473067    21 4713786 1147064 00000000000  2 0            
N  473067    22 4714156 1147294 00000000000  2 0            
