H  NLA       N01-07L-2K 21996  80
    8627    2603    6024       0       0       0       0
N  503356     1 4814905 1216510 00000000000  1 1503355    47
N  503356     2 4815125 1216600 00000000000  2 0            
N  503356     3 4815155 1216590 00000000000  2 0            
N  503356     4 4815235 1216630 00000000000  3 0            
N  503356     5 4815245 1216620 00000000000  2 0            
N  503356     6 4815255 1216640 00000000000  2 0            
N  503356     7 4815265 1216610 00000000000  2 0            
N  503356     8 4815285 1216610 00000000000  2 0            
N  503356     9 4815295 1216510 00000000000  2 0            
N  503356    10 4815495 1216810 00000000000  2 0            
N  503356    11 4815765 1216530 00000000000  2 0            
N  503356    12 4815765 1217280 00000000000  2 0            
N  503356    13 4816095 1216500 00000000000  2 0            
N  503356    14 4816125 1216470 00000000000  2 0            
N  503356    15 4816305 1217640 00000000000  2 0            
N  503356    16 4816355 1217700 00000000000  1 0            
N  503356    17 4816585 1216620 00000000000  2 0            
N  503356    18 4816805 1216800 00000000000  2 0            
N  503356    19 4817155 1216710 00000000000  2 0            
N  503356    20 4817355 1216920 00000000000  2 0            
N  503356    21 4817615 1217060 00000000000  2 0            
N  503356    22 4817755 1217080 00000000000  2 0            
N  503356    23 4817925 1217210 00000000000  2 0            
N  503356    24 4818105 1217260 00000000000  2 0            
N  503356    25 4818315 1217290 00000000000  2 0            
N  503356    26 4818355 1217360 00000000000  2 0            
N  503356    27 4818515 1217520 00000000000  2 0            
N  503356    28 4818524 1217530 00000000000  2 0            
N  503356    29 4818684 1217700 00000000000  2 0            
N  503356    30 4818914 1217630 00000000000  2 0            
N  503356    31 4818964 1217670 00000000000  2 0            
N  503356    32 4818974 1218030 00000000000  2 0            
N  503356    33 4819014 1217660 00000000000  2 0            
N  503356    34 4819054 1217970 00000000000  2 0            
N  503356    35 4819104 1217820 00000000000  2 0            
N  503356    36 4819254 1217740 00000000000  1 0            
N  503357     1 4819254 1217740 00000000000  1 0            
N  503357     2 4819404 1217770 00000000000  2 1            
N  503357     3 4819624 1217810 00000000000  2 0            
N  503357     4 4819704 1217970 00000000000  1 0            
N  503357     5 4819744 1216230 00000000000  2 0            
N  503357     6 4819744 1216310 00000000000  1 0            
N  503357     7 4819744 1217750 00000000000  2 0            
N  503357     8 4819754 1217840 00000000000  2 0            
N  503357     9 4819794 1217930 00000000000  2 0            
N  503357    10 4819854 1217950 00000000000  2 0            
N  503357    11 4819864 1216020 00000000000  2 0            
N  503357    12 4819894 1218110 00000000000  1 0            
N  503357    13 4819904 1215880 00000000000  2 0            
N  503357    14 4819904 1218110 00000000000  1 0            
N  503357    15 4819964 1215870 00000000000  2 0            
N  503357    16 4820094 1215630 00000000000  2 0            
N  503357    17 4820144 1215250 00000000000  2 0            
N  503357    18 4820294 1215120 00000000000  1 1503347    26
N  503365     1 4810545 1219699 00000000000  2 0            
N  503365     2 4810545 1219759 00000000000  2 0            
N  503365     3 4810585 1219919 00000000000  2 0            
N  503365     4 4810585 1220109 00000000000  2 0            
N  503365     5 4810705 1220229 00000000000  2 0            
N  503365     6 4810715 1219639 00000000000  2 0            
N  503365     7 4810715 1220109 00000000000  2 0            
N  503365     8 4810715 1220829 00000000000  1 0            
N  503365     9 4810735 1220439 00000000000  2 0            
N  503365    10 4810745 1220809 00000000000  2 0            
N  503365    11 4810765 1220869 00000000000  2 0            
N  503365    12 4810775 1220259 00000000000  2 0            
N  503365    13 4810785 1219599 00000000000  2 0            
N  503365    14 4810855 1219549 00000000000  2 0            
N  503365    15 4811005 1219589 00000000000  2 0            
N  503365    16 4811005 1219699 00000000000  2 0            
N  503365    17 4811065 1220959 00000000000  1 0            
N  503365    18 4811265 1219529 00000000000  2 0            
N  503365    19 4811325 1218559 00000000000  2 0            
