H  NLA       N01-07L-2K 21996  80
   10142    3081    7061       0       0       0       0
N  492947     1 4675238 1190479 00000000000  1 0            
N  492947     2 4675418 1190439 00000000000  2 1            
N  492947     3 4675478 1190389 00000000000  2 0            
N  492947     4 4675568 1190319 00000000000  2 0            
N  492947     5 4675618 1190289 00000000000  2 0            
N  492947     6 4675708 1190249 00000000000  2 0            
N  492947     7 4676338 1189870 00000000000  2 0            
N  492947     8 4676408 1189840 00000000000  2 0            
N  492947     9 4676498 1189730 00000000000  2 0            
N  492947    10 4676698 1189480 00000000000  2 0            
N  492947    11 4676778 1189450 00000000000  2 0            
N  492947    12 4676898 1189390 00000000000  2 0            
N  492947    13 4676998 1189350 00000000000  2 0            
N  492947    14 4677028 1189340 00000000000  2 0            
N  492947    15 4677138 1189560 00000000000  2 0            
N  492947    16 4677138 1189600 00000000000  2 0            
N  492947    17 4677168 1189440 00000000000  2 0            
N  492947    18 4677218 1189280 00000000000  2 0            
N  492947    19 4677238 1189280 00000000000  3 0            
N  492947    20 4677318 1189790 00000000000  2 0            
N  492947    21 4677368 1189070 00000000000  2 0            
N  492947    22 4677398 1189860 00000000000  2 0            
N  492947    23 4677468 1189890 00000000000  2 0            
N  492947    24 4677498 1189900 00000000000  2 0            
N  492947    25 4677678 1189990 00000000000  2 0            
N  492947    26 4677788 1188850 00000000000  2 0            
N  492947    27 4677788 1189880 00000000000  2 0            
N  492947    28 4677828 1188780 00000000000  2 0            
N  492947    29 4677867 1189900 00000000000  2 0            
N  492947    30 4677878 1188670 00000000000  2 0            
N  492947    31 4678058 1188450 00000000000  2 0            
N  492947    32 4678078 1188470 00000000000  2 0            
N  492947    33 4678087 1190520 00000000000  1 0            
N  492947    34 4678128 1188220 00000000000  2 0            
N  492947    35 4678128 1188560 00000000000  2 0            
N  492947    36 4678138 1188120 00000000000  1 1492937    16
N  492947    37 4678137 1190150 00000000000  2 0            
N  492947    38 4678148 1188140 00000000000  2 0            
N  492947    39 4678157 1190160 00000000000  2 0            
N  492947    40 4678278 1188120 00000000000  2 1            
N  492947    41 4678378 1187670 00000000000  1 0            
N  492947    42 4678567 1190330 00000000000  2 0            
N  492947    43 4678947 1190910 00000000000  2 0            
N  492947    44 4678967 1190940 00000000000  2 0            
N  492947    45 4679087 1191110 00000000000  1 0            
N  492947    46 4679277 1190990 00000000000  1 0            
N  492947    47 4679287 1190730 00000000000  2 0            
N  492947    48 4679387 1190600 00000000000  2 0            
N  492947    49 4679427 1190560 00000000000  2 0            
N  492947    50 4679457 1190400 00000000000  2 0            
N  492947    51 4679477 1190140 00000000000  2 0            
N  492947    52 4679647 1190010 00000000000  2 0            
N  492947    53 4679867 1189980 00000000000  2 0            
N  492947    54 4679917 1190000 00000000000  1 1493040     1
N  492947    55 4677352 1189280 01000000000  2 0            
N  492956     1 4670918 1193819 00000000000  1 1492955    17
N  492956     2 4671068 1193659 00000000000  2 0            
N  492956     3 4671168 1193619 00000000000  2 0            
N  492956     4 4671178 1191109 00000000000  1 0            
N  492956     5 4671188 1191179 00000000000  2 0            
N  492956     6 4671238 1191299 00000000000  2 0            
N  492956     7 4671268 1193689 00000000000  2 0            
N  492956     8 4671348 1193709 00000000000  2 0            
N  492956     9 4671378 1191499 00000000000  2 0            
N  492956    10 4671378 1193709 00000000000  2 0            
N  492956    11 4671608 1191709 00000000000  2 0            
N  492956    12 4671688 1191739 00000000000  2 0            
N  492956    13 4671788 1193579 00000000000  2 0            
N  492956    14 4671918 1191709 00000000000  2 0            
N  492956    15 4672068 1193439 00000000000  2 0            
N  492956    16 4672128 1193369 00000000000  2 0            
N  492956    17 4672208 1193279 00000000000  2 0            
N  492956    18 4672218 1191889 00000000000  2 0            
N  492956    19 4672288 1193189 00000000000  4 0            
N  492956    20 4672348 1192059 00000000000  2 0            
N  492956    21 4672508 1193099 00000000000  4 0            
N  492956    22 4672518 1192689 00000000000  2 0            
N  492956    23 4672538 1191519 00000000000  2 0            
N  492956    24 4672538 1192739 00000000000  2 0            
N  492956    25 4672578 1192339 00000000000  2 0            
N  492956    26 4672578 1192929 00000000000  2 0            
N  492956    27 4672578 1192949 00000000000  2 0            
N  492956    28 4672598 1192299 00000000000  2 0            
N  492956    29 4672598 1192979 00000000000  2 0            
N  492956    30 4672668 1193069 00000000000  4 0            
N  492956    31 4672688 1193079 00000000000  4 0            
N  492956    32 4672758 1193109 00000000000  4 0            
N  492956    33 4672828 1191179 00000000000  2 0            
N  492956    34 4672878 1193189 00000000000  4 0            
N  492956    35 4672998 1191109 00000000000  1 0            
N  492956    36 4673018 1193219 00000000000  4 0            
N  492956    37 4673038 1193219 00000000000  4 0            
N  492956    38 4673078 1193219 00000000000  4 0            
N  492956    39 4673728 1193239 00000000000  4 0            
N  492956    40 4673808 1193329 00000000000  5 0            
N  492956    41 4673818 1193359 00000000000  5 0            
N  492956    42 4673838 1193429 00000000000  5 0            
N  492956    43 4673898 1193619 00000000000  4 0            
N  492956    44 4673948 1193369 00000000000  2 0            
N  492956    45 4673998 1193339 00000000000  2 0            
N  492956    46 4674138 1193219 00000000000  2 0            
N  492956    47 4674198 1193149 00000000000  2 0            
N  492956    48 4674258 1193119 00000000000  2 0            
N  492956    49 4674258 1194009 00000000000  4 0            
N  492956    50 4674268 1194019 00000000000  4 0            
N  492956    51 4674348 1194119 00000000000  2 1492966    25
N  492956    52 4674548 1193069 00000000000  2 0            
N  492956    53 4674578 1193079 00000000000  2 0            
N  492956    54 4674648 1193089 00000000000  2 0            
N  492956    55 4674928 1193059 00000000000  2 0            
N  492956    56 4674998 1193009 00000000000  1 0            
N  492956    57 4675188 1191229 00000000000  2 0            
N  492956    58 4675218 1191369 00000000000  2 0            
N  492956    59 4675228 1191439 00000000000  2 0            
N  492956    60 4675248 1191109 00000000000  2 0            
N  492956    61 4675268 1191549 00000000000  2 0            
N  492956    62 4675308 1190999 00000000000  1 0            
N  492956    63 4675378 1191689 00000000000  1 0            
N  492956    64 4673893 1193649 00000000000  1 0            
N  492956    65 4673582 1194119 00000000000  1 1492966    55
N  492956    66 4672152 1193342 01000000000  4 0            
N  492956    67 4675418 1193680 00000000000  1 1492957    76
N  492956    68 4672543 1192182 00000000000  2 0            
N  492956    69 4674544 1194105 01000000000  2 0            
N  492957     1 4674998 1193009 00000000000  1 0            
N  492957     2 4675378 1191689 00000000000  1 0            
N  492957     3 4675418 1191699 00000000000  2 1            
N  492957     4 4675418 1192939 00000000000  2 1            
N  492957     5 4675468 1191889 00000000000  2 0            
N  492957     6 4675538 1192139 00000000000  2 0            
N  492957     7 4675598 1192869 00000000000  2 0            
N  492957     8 4675618 1192219 00000000000  2 0            
N  492957     9 4675618 1192849 00000000000  2 0            
N  492957    10 4675708 1192329 00000000000  2 0            
N  492957    11 4675728 1192789 00000000000  2 0            
N  492957    12 4676118 1192769 00000000000  2 0            
N  492957    13 4676118 1192899 00000000000  2 0            
N  492957    14 4676138 1192849 00000000000  2 0            
N  492957    15 4676257 1194039 00000000000  1 0            
N  492957    16 4676268 1192939 00000000000  2 0            
N  492957    17 4676267 1193739 00000000000  2 0            
N  492957    18 4676298 1192889 00000000000  2 0            
N  492957    19 4676317 1193999 00000000000  2 0            
N  492957    20 4676347 1193539 00000000000  2 0            
N  492957    21 4676397 1192969 00000000000  4 0            
N  492957    22 4676397 1193219 00000000000  3 0            
N  492957    23 4676427 1193389 00000000000  2 0            
N  492957    24 4676537 1193119 00000000000  2 0            
N  492957    25 4676747 1193059 00000000000  2 0            
N  492957    26 4676807 1193039 00000000000  2 0            
N  492957    27 4676847 1193029 00000000000  2 0            
