H  NLA       N01-07L-2K 21996  80
   15703    4900   10803       0       0       0       0
N  533866     1 4995336 1290594 00000000000  2 0            
N  533866     2 4995376 1290554 00000000000  2 0            
N  533866     3 4995376 1290584 00000000000  2 0            
N  533866     4 4995406 1290964 00000000000  2 0            
N  533866     5 4995496 1290374 00000000000  2 0            
N  533866     6 4995506 1290274 00000000000  2 0            
N  533866     7 4995556 1290015 00000000000  1 0            
N  533866     8 4995556 1291244 00000000000  2 0            
N  533866     9 4995586 1290105 00000000000  2 0            
N  533866    10 4995746 1291534 00000000000  2 0            
N  533866    11 4996416 1292104 00000000000  2 0            
N  533866    12 4996446 1292114 00000000000  1 0            
N  533866    13 4997610 1292791 00000000000  1 0            
N  533866    14 4997876 1293114 00000000000  1 1533876     2
N  533875     1 4990387 1294954 00000000000  1 1533874    33
N  533875     2 4990587 1294944 00000000000  2 0            
N  533875     3 4990967 1294854 00000000000  2 0            
N  533875     4 4991287 1294704 00000000000  2 0            
N  533875     5 4991447 1294634 00000000000  2 0            
N  533875     6 4991557 1294604 00000000000  2 0            
N  533875     7 4991787 1294604 00000000000  2 0            
N  533875     8 4992077 1294624 00000000000  2 0            
N  533875     9 4992197 1294654 00000000000  1 0            
N  533876     1 4997816 1293274 00000000000  2 0            
N  533876     2 4997876 1293114 00000000000  2 1533866    14
N  533876     3 4997936 1292874 00000000000  1 0            
N  533876     4 4998046 1293464 00000000000  2 0            
N  533876     5 4998176 1293544 00000000000  2 0            
N  533876     6 4998486 1293754 00000000000  2 0            
N  533876     7 4998506 1293764 00000000000  2 0            
N  533876     8 4998526 1293774 00000000000  2 0            
N  533876     9 4998786 1293904 00000000000  2 0            
N  533876    10 4999066 1294004 00000000000  1 0            
N  533876    11 4998680 1293767 00000000000  1 0            
N  533876    12 4999386 1293849 00000000000  1 1533877    33
N  533877     1 4999066 1294004 00000000000  1 0            
N  533877     2 4999386 1293924 00000000000  2 1            
N  533877     3 4999706 1293944 00000000000  2 0            
N  533877     4 5000316 1293964 00000000000  2 0            
N  533877     5 5000466 1293934 00000000000  2 0            
N  533877     6 5000696 1293914 00000000000  2 0            
N  533877     7 5000746 1293974 00000000000  2 0            
N  533877     8 5000946 1294184 00000000000  2 0            
N  533877     9 5001156 1294064 00000000000  2 0            
N  533877    10 5001546 1294104 00000000000  2 0            
N  533877    11 5001556 1294234 00000000000  2 0            
N  533877    12 5001566 1294254 00000000000  2 0            
N  533877    13 5001776 1294314 00000000000  2 0            
N  533877    14 5001906 1294074 00000000000  2 0            
N  533877    15 5002016 1293694 00000000000  2 0            
N  533877    16 5002186 1293724 00000000000  2 0            
N  533877    17 5002635 1294414 00000000000  2 0            
N  533877    18 5002695 1294344 00000000000  2 0            
N  533877    19 5002725 1293804 00000000000  2 0            
N  533877    20 5002775 1293834 00000000000  2 0            
N  533877    21 5002795 1293954 00000000000  2 0            
N  533877    22 5002815 1293914 00000000000  2 0            
N  533877    23 5002945 1296014 00000000000  1 0            
N  533877    24 5002995 1295084 00000000000  2 0            
N  533877    25 5003005 1295874 00000000000  2 0            
N  533877    26 5003015 1295574 00000000000  2 0            
N  533877    27 5003045 1294964 00000000000  2 0            
N  533877    28 5003055 1294604 00000000000  2 0            
N  533877    29 5003095 1295264 00000000000  2 0            
N  533877    30 5003115 1294634 00000000000  3 0            
N  533877    31 5003735 1294624 00000000000  1 0            
N  533877    32 5000559 1293902 00000000000  1 0            
N  533877    33 4999386 1293849 00000000000  1 1533876    12
N  533952     1 5012175 1288135 00000000000  1 0            
N  533952     2 5012545 1288345 00000000000  1 0            
N  533952     3 5012805 1289455 00000000000  1 0            
N  533952     4 5012835 1287255 00000000000  1 0            
N  533952     5 5012855 1289705 00000000000  1 0            
N  533952     6 5012885 1287375 00000000000  2 1            
N  533952     7 5012885 1288225 00000000000  2 1            
N  533952     8 5012885 1288455 00000000000  2 1            
N  533952     9 5012885 1289425 00000000000  2 1            
N  533952    10 5012885 1289525 00000000000  1 1533951    64
N  533952    11 5012885 1289695 00000000000  2 1            
N  533952    12 5012895 1289585 00000000000  2 0            
N  533952    13 5012945 1288215 00000000000  3 0            
N  533952    14 5012945 1289395 00000000000  2 0            
N  533952    15 5012945 1289635 00000000000  2 0            
N  533952    16 5012975 1288265 00000000000  2 0            
N  533952    17 5012995 1288455 00000000000  2 0            
N  533952    18 5013105 1288435 00000000000  3 0            
N  533952    19 5013105 1288465 00000000000  2 0            
N  533952    20 5013105 1288565 00000000000  2 0            
N  533952    21 5013135 1288705 00000000000  2 0            
N  533952    22 5013165 1288365 00000000000  2 0            
N  533952    23 5013175 1288435 00000000000  3 0            
N  533952    24 5013185 1287435 00000000000  2 0            
N  533952    25 5013215 1288925 00000000000  2 0            
N  533952    26 5013265 1288995 00000000000  2 0            
N  533952    27 5013285 1289075 00000000000  2 0            
N  533952    28 5013295 1288405 00000000000  2 0            
N  533952    29 5013315 1289165 00000000000  2 0            
N  533952    30 5013315 1289205 00000000000  2 0            
N  533952    31 5013325 1289185 00000000000  4 0            
N  533952    32 5013435 1288385 00000000000  3 0            
N  533952    33 5013454 1289245 00000000000  2 0            
N  533952    34 5013465 1287815 00000000000  2 0            
N  533952    35 5013495 1288165 00000000000  4 0            
N  533952    36 5013515 1288215 00000000000  2 0            
N  533952    37 5013525 1288065 00000000000  2 0            
N  533952    38 5013535 1288305 00000000000  3 0            
N  533952    39 5013544 1288975 00000000000  2 0            
N  533952    40 5013644 1288705 00000000000  2 0            
N  533952    41 5013714 1288635 00000000000  2 0            
N  533952    42 5013724 1288465 00000000000  4 0            
N  533952    43 5013734 1288545 00000000000  2 0            
N  533952    44 5013784 1288045 00000000000  3 0            
N  533952    45 5013804 1288415 00000000000  2 0            
N  533952    46 5013824 1288305 00000000000  3 0            
N  533952    47 5013874 1289455 00000000000  2 0            
N  533952    48 5013914 1289555 00000000000  2 0            
N  533952    49 5013934 1288345 00000000000  4 0            
N  533952    50 5013944 1289605 00000000000  2 0            
N  533952    51 5013964 1288365 00000000000  2 0            
N  533952    52 5013984 1287955 00000000000  2 0            
N  533952    53 5013984 1288455 00000000000  2 0            
N  533952    54 5014004 1288385 00000000000  2 0            
N  533952    55 5014034 1289595 00000000000  2 0            
N  533952    56 5014114 1287885 00000000000  2 0            
N  533952    57 5014234 1288175 00000000000  2 0            
N  533952    58 5014284 1288515 00000000000  2 0            
N  533952    59 5014324 1288385 00000000000  2 0            
N  533952    60 5014374 1288095 00000000000  2 0            
N  533952    61 5014394 1287145 00000000000  2 0            
N  533952    62 5014404 1287115 00000000000  1 1533942    25
N  533952    63 5014414 1288555 00000000000  3 0            
N  533952    64 5014424 1289745 00000000000  3 0            
N  533952    65 5014434 1289725 00000000000  2 0            
N  533952    66 5014454 1287765 00000000000  2 0            
N  533952    67 5014484 1288605 00000000000  2 0            
N  533952    68 5014504 1287755 00000000000  2 0            
N  533952    69 5014504 1289815 00000000000  2 0            
N  533952    70 5014514 1289525 00000000000  2 0            
N  533952    71 5014524 1288005 00000000000  3 0            
N  533952    72 5014534 1287235 00000000000  2 0            
N  533952    73 5014544 1288365 00000000000  2 0            
N  533952    74 5014554 1287255 00000000000  2 0            
N  533952    75 5014564 1287955 00000000000  2 0            
N  533952    76 5014584 1289865 00000000000  2 0            
N  533952    77 5014604 1287585 00000000000  2 0            
N  533952    78 5014624 1287985 00000000000  2 0            
N  533952    79 5014684 1289995 00000000000  2 0            
N  533952    80 5014694 1290025 00000000000  2 0            
N  533952    81 5014694 1290075 00000000000  1 0            
N  533952    82 5014704 1289385 00000000000  2 0            
N  533952    83 5014724 1287795 00000000000  2 0            
N  533952    84 5014754 1288355 00000000000  2 0            
N  533952    85 5014854 1289115 00000000000  2 0            
N  533952    86 5014884 1287425 00000000000  2 0            
N  533952    87 5014884 1287815 00000000000  2 0            
N  533952    88 5014904 1288335 00000000000  2 0            
N  533952    89 5014924 1287775 00000000000  2 0            
N  533952    90 5014974 1289035 00000000000  2 0            
N  533952    91 5014984 1288925 00000000000  2 0            
N  533952    92 5015044 1288955 00000000000  4 0            
N  533952    93 5015074 1287295 00000000000  2 0            
N  533952    94 5015134 1287205 00000000000  2 0            
N  533952    95 5015154 1288865 00000000000  3 0            
N  533952    96 5015164 1287375 00000000000  2 0            
N  533952    97 5015274 1287115 00000000000  1 1533942    57
N  533952    98 5015314 1287245 00000000000  2 0            
N  533952    99 5015324 1289055 00000000000  2 0            
N  533952   100 5015394 1287115 00000000000  2 1            
N  533952   101 5015414 1288655 00000000000  2 0            
N  533952   102 5015424 1288195 00000000000  2 0            
N  533952   103 5015454 1289165 00000000000  2 0            
N  533952   104 5015464 1287015 00000000000  1 0            
N  533952   105 5015494 1288605 00000000000  2 0            
N  533952   106 5015654 1288125 00000000000  2 0            
N  533952   107 5015674 1289285 00000000000  2 0            
N  533952   108 5015684 1288455 00000000000  2 0            
N  533952   109 5015724 1289315 00000000000  2 0            
N  533952   110 5015754 1289325 00000000000  2 0            
N  533952   111 5015784 1288375 00000000000  2 0            
N  533952   112 5015834 1288065 00000000000  2 0            
N  533952   113 5015864 1289365 00000000000  2 0            
N  533952   114 5015944 1288265 00000000000  2 0            
N  533952   115 5016244 1287115 00000000000  1 1533942   125
N  533952   116 5016244 1287925 00000000000  3 0            
N  533952   117 5016274 1287145 00000000000  2 0            
N  533952   118 5016284 1287545 00000000000  2 0            
N  533952   119 5016304 1287495 00000000000  2 0            
N  533952   120 5016394 1289445 00000000000  2 0            
N  533952   121 5016414 1287905 00000000000  3 0            
N  533952   122 5016454 1287695 00000000000  2 0            
N  533952   123 5016464 1287885 00000000000  2 0            
N  533952   124 5016504 1287675 00000000000  2 0            
N  533952   125 5016534 1287845 00000000000  2 0            
N  533952   126 5016544 1287655 00000000000  2 0            
N  533952   127 5016624 1287795 00000000000  2 0            
N  533952   128 5016654 1289555 00000000000  2 0            
N  533952   129 5016754 1287665 00000000000  2 0            
N  533952   130 5016784 1287645 00000000000  2 0            
N  533952   131 5016844 1289585 00000000000  1 0            
N  533952   132 5016934 1288325 00000000000  2 0            
N  533952   133 5016954 1287445 00000000000  2 0            
N  533952   134 5017054 1288495 00000000000  2 0            
N  533952   135 5017064 1287395 00000000000  2 0            
N  533952   136 5017104 1287525 00000000000  2 0            
N  533952   137 5017134 1287355 00000000000  2 0            
N  533952   138 5017154 1288635 00000000000  2 0            
N  533952   139 5017214 1287445 00000000000  2 0            
N  533952   140 5017234 1288755 00000000000  2 0            
N  533952   141 5017254 1287295 00000000000  2 0            
N  533952   142 5017304 1287395 00000000000  2 0            
N  533952   143 5017384 1287235 00000000000  1 1533953     2
N  533952   144 5017384 1287355 00000000000  1 1533953     3
N  533952   145 5017384 1288825 00000000000  1 1533953     4
N  533952   146 5013827 1288454 00000000000  1 0            
N  533952   147 5014116 1288482 00000000000  1 0            
N  533952   148 5016215 1288094 00000000000  2 0            
N  533952   149 5016143 1287955 00000000000  2 0            
N  533953     1 5016844 1289585 00000000000  1 0            
