H  NLA       N01-07L-2K 21996  80
   15075    4547   10528       0       0       0       0
N  543925     1 5025853 1302544 00000000000  1 0            
N  543925     2 5026163 1303943 00000000000  1 0            
N  543925     3 5026383 1302494 00000000000  2 1            
N  543925     4 5026383 1303823 00000000000  1 1543924    88
N  543925     5 5026383 1303833 00000000000  2 1            
N  543925     6 5026523 1302484 00000000000  2 0            
N  543925     7 5026693 1303714 00000000000  2 0            
N  543925     8 5027013 1302064 00000000000  1 0            
N  543925     9 5027033 1302234 00000000000  2 0            
N  543925    10 5027153 1302114 00000000000  4 1            
N  543925    11 5027263 1302254 00000000000  2 0            
N  543925    12 5027313 1302334 00000000000  2 0            
N  543925    13 5027313 1305113 00000000000  1 1543935    18
N  543925    14 5027343 1302374 00000000000  2 0            
N  543925    15 5027343 1304903 00000000000  2 0            
N  543925    16 5027353 1301944 00000000000  1 0            
N  543925    17 5027383 1302434 00000000000  2 0            
N  543925    18 5027393 1304663 00000000000  2 0            
N  543925    19 5027423 1302504 00000000000  2 0            
N  543925    20 5027433 1303614 00000000000  3 0            
N  543925    21 5027433 1304593 00000000000  2 0            
N  543925    22 5027483 1304293 00000000000  2 0            
N  543925    23 5027503 1304533 00000000000  2 0            
N  543925    24 5027523 1304203 00000000000  2 0            
N  543925    25 5027623 1302734 00000000000  2 0            
N  543925    26 5027633 1304044 00000000000  2 0            
N  543925    27 5027733 1303734 00000000000  3 0            
N  543925    28 5027753 1303704 00000000000  4 0            
N  543925    29 5027763 1302884 00000000000  2 0            
N  543925    30 5027783 1303674 00000000000  4 0            
N  543925    31 5027833 1302854 00000000000  2 0            
N  543925    32 5027863 1303584 00000000000  4 0            
N  543925    33 5027883 1303564 00000000000  4 0            
N  543925    34 5027913 1303544 00000000000  4 0            
N  543925    35 5028033 1303434 00000000000  3 0            
N  543925    36 5028163 1303334 00000000000  2 0            
N  543925    37 5028383 1303214 00000000000  4 0            
N  543925    38 5028783 1302844 00000000000  2 0            
N  543925    39 5028813 1302914 00000000000  4 0            
N  543925    40 5028823 1302854 00000000000  2 0            
N  543925    41 5028903 1302944 00000000000  2 0            
N  543925    42 5029143 1303024 00000000000  2 0            
N  543925    43 5029383 1302994 00000000000  1 0            
N  543925    44 5029593 1303634 00000000000  2 0            
N  543925    45 5029633 1303554 00000000000  2 0            
N  543925    46 5029673 1302464 00000000000  2 0            
N  543925    47 5029672 1303864 00000000000  2 0            
N  543925    48 5029723 1303474 00000000000  2 0            
