H  NLA       N01-07L-2K 21996  80
   22079    6676   15403       0       0       0       0
N  523764     1 4949711 1267636 00000000000  1 0            
N  523764     2 4949751 1268576 00000000000  1 0            
N  523764     3 4949891 1267656 00000000000  2 1            
N  523764     4 4949891 1268526 00000000000  2 1            
N  523764     5 4950021 1268476 00000000000  2 0            
N  523764     6 4950131 1267676 00000000000  2 0            
N  523764     7 4950301 1268286 00000000000  2 0            
N  523764     8 4950321 1267686 00000000000  4 0            
N  523764     9 4950321 1267726 00000000000  2 0            
N  523764    10 4950391 1267926 00000000000  2 0            
N  523764    11 4950501 1267776 00000000000  2 0            
N  523764    12 4950511 1266496 00000000000  2 0            
N  523764    13 4950521 1267426 00000000000  3 0            
N  523764    14 4950541 1267396 00000000000  2 0            
N  523764    15 4950551 1268056 00000000000  2 0            
N  523764    16 4950561 1267966 00000000000  2 0            
N  523764    17 4950631 1266796 00000000000  2 0            
N  523764    18 4950821 1267936 00000000000  2 0            
N  523764    19 4950971 1268006 00000000000  2 0            
N  523764    20 4951001 1266286 00000000000  2 0            
N  523764    21 4951011 1267406 00000000000  2 0            
N  523764    22 4951041 1266276 00000000000  2 0            
N  523764    23 4951141 1269116 00000000000  1 1523774    21
N  523764    24 4951241 1266236 00000000000  2 0            
N  523764    25 4951241 1267216 00000000000  2 0            
N  523764    26 4951341 1268056 00000000000  2 0            
N  523764    27 4951381 1268176 00000000000  2 0            
N  523764    28 4951381 1268636 00000000000  2 0            
N  523764    29 4951381 1268696 00000000000  2 0            
N  523764    30 4951421 1266116 00000000000  1 1523754    17
N  523764    31 4951421 1267136 00000000000  2 0            
N  523764    32 4951461 1268886 00000000000  2 0            
N  523764    33 4951471 1268856 00000000000  2 0            
N  523764    34 4951681 1268556 00000000000  2 0            
N  523764    35 4951811 1267096 00000000000  2 0            
N  523764    36 4952231 1267126 00000000000  2 0            
N  523764    37 4952411 1267086 00000000000  2 0            
N  523764    38 4952461 1267136 00000000000  2 0            
N  523764    39 4952621 1266966 00000000000  2 0            
N  523764    40 4952731 1269116 00000000000  1 1523774    37
N  523764    41 4952781 1269076 00000000000  2 0            
N  523764    42 4952791 1266736 00000000000  2 0            
N  523764    43 4952801 1266726 00000000000  2 0            
N  523764    44 4952811 1269076 00000000000  2 0            
N  523764    45 4952901 1269086 00000000000  2 0            
N  523764    46 4952911 1266636 00000000000  2 0            
N  523764    47 4952921 1266646 00000000000  2 0            
N  523764    48 4953001 1266676 00000000000  2 0            
N  523764    49 4953021 1266486 00000000000  2 0            
N  523764    50 4953031 1269046 00000000000  2 0            
N  523764    51 4953031 1269066 00000000000  3 0            
N  523764    52 4953051 1266516 00000000000  2 0            
N  523764    53 4953081 1268666 00000000000  2 0            
