H  NLA       N01-07L-2K 21996  80
   12120    3664    8456       0       0       0       0
N  523526     1 4886647 1255606 00000000000  1 0            
N  523526     2 4886767 1256066 00000000000  1 0            
N  523526     3 4886827 1254636 00000000000  1 0            
N  523526     4 4886897 1254486 00000000000  2 1            
N  523526     5 4886897 1255506 00000000000  2 1            
N  523526     6 4886897 1255996 00000000000  2 1            
N  523526     7 4886967 1254366 00000000000  2 0            
N  523526     8 4886967 1255496 00000000000  2 0            
N  523526     9 4887077 1254206 00000000000  2 0            
N  523526    10 4887087 1255976 00000000000  2 0            
N  523526    11 4887127 1254106 00000000000  1 0            
N  523526    12 4887157 1255496 00000000000  2 0            
N  523526    13 4887337 1255976 00000000000  2 0            
N  523526    14 4887347 1255486 00000000000  2 0            
N  523526    15 4887407 1255936 00000000000  2 0            
N  523526    16 4887417 1255466 00000000000  2 0            
N  523526    17 4887427 1255256 00000000000  2 0            
N  523526    18 4887427 1255476 00000000000  2 0            
N  523526    19 4887457 1255936 00000000000  2 0            
N  523526    20 4887467 1255896 00000000000  2 0            
N  523526    21 4887507 1256186 00000000000  2 0            
N  523526    22 4887517 1256366 00000000000  2 0            
N  523526    23 4887527 1256496 00000000000  2 0            
N  523526    24 4887577 1255936 00000000000  2 0            
N  523526    25 4887607 1255466 00000000000  2 0            
N  523526    26 4887657 1255466 00000000000  2 0            
N  523526    27 4887867 1255936 00000000000  2 0            
N  523526    28 4887917 1255936 00000000000  2 0            
N  523526    29 4887957 1257116 00000000000  1 1523536    90
N  523526    30 4887967 1255446 00000000000  2 0            
N  523526    31 4887997 1255446 00000000000  2 0            
N  523526    32 4888007 1255526 00000000000  4 0            
N  523526    33 4888097 1255506 00000000000  2 0            
N  523526    34 4888097 1255986 00000000000  2 0            
N  523526    35 4888107 1257006 00000000000  2 0            
N  523526    36 4888117 1255886 00000000000  3 0            
N  523526    37 4888157 1255876 00000000000  2 0            
N  523526    38 4888177 1256006 00000000000  3 0            
N  523526    39 4888187 1256826 00000000000  2 0            
N  523526    40 4888207 1256696 00000000000  4 0            
N  523526    41 4888247 1254476 00000000000  2 0            
N  523526    42 4888267 1254486 00000000000  3 0            
N  523526    43 4888357 1254306 00000000000  3 0            
N  523526    44 4888427 1254286 00000000000  2 0            
N  523526    45 4888487 1254106 00000000000  1 0            
N  523526    46 4888547 1255776 00000000000  3 0            
N  523526    47 4888587 1255796 00000000000  2 0            
N  523526    48 4888647 1254176 00000000000  2 0            
N  523526    49 4888707 1254106 00000000000  1 0            
N  523526    50 4888757 1255936 00000000000  2 0            
N  523526    51 4888807 1257116 00000000000  2 1523536   126
N  523526    52 4888827 1257046 00000000000  4 0            
N  523526    53 4888887 1256956 00000000000  4 0            
N  523526    54 4888907 1256926 00000000000  4 0            
N  523526    55 4888937 1256866 00000000000  4 0            
N  523526    56 4888947 1256816 00000000000  4 0            
N  523526    57 4889007 1256116 00000000000  4 0            
N  523526    58 4889017 1256646 00000000000  4 0            
N  523526    59 4889027 1256136 00000000000  4 0            
N  523526    60 4889057 1256166 00000000000  4 0            
N  523526    61 4889087 1256446 00000000000  4 0            
N  523526    62 4889117 1256336 00000000000  4 0            
N  523526    63 4889137 1255966 00000000000  2 0            
N  523526    64 4889257 1255916 00000000000  2 0            
N  523526    65 4889297 1255886 00000000000  2 0            
N  523526    66 4889347 1255786 00000000000  2 0            
N  523526    67 4889747 1255696 00000000000  2 0            
N  523526    68 4889777 1254106 00000000000  1 0            
N  523526    69 4890017 1255276 00000000000  2 0            
N  523526    70 4890147 1255296 00000000000  2 0            
N  523526    71 4890197 1255246 00000000000  3 0            
N  523526    72 4890217 1255246 00000000000  2 0            
N  523526    73 4890287 1254986 00000000000  2 0            
N  523526    74 4890297 1254406 00000000000  2 0            
N  523526    75 4890397 1255416 00000000000  2 0            
N  523526    76 4890417 1255526 00000000000  2 0            
N  523526    77 4890547 1254706 00000000000  2 0            
N  523526    78 4890947 1255806 00000000000  2 0            
N  523526    79 4891007 1256016 00000000000  2 0            
N  523526    80 4891227 1256116 00000000000  2 0            
N  523526    81 4891227 1256676 00000000000  2 0            
N  523526    82 4891237 1256656 00000000000  2 0            
N  523526    83 4891247 1256646 00000000000  2 0            
N  523526    84 4891257 1256176 00000000000  2 0            
N  523526    85 4891277 1256706 00000000000  2 0            
N  523526    86 4891327 1256856 00000000000  2 0            
N  523526    87 4891327 1256886 00000000000  2 0            
N  523526    88 4891337 1256956 00000000000  2 0            
N  523526    89 4891397 1256996 00000000000  1 1523527     1
N  523526    90 4888709 1256504 00000000000  2 0            
N  523526    91 4889056 1256536 00000000000  2 0            
N  523526    92 4891397 1257041 00000000000  1 1523527    62
N  523526    93 4890525 1254622 00000000000  3 0            
N  523526    94 4890724 1254611 00000000000  3 0            
N  523526    95 4891397 1254940 00000000000  1 1523527    64
N  523526    96 4890978 1254116 00000000000  1 1523516   149
N  523526    97 4887430 1254486 00000000000  1 0            
N  523526    98 4887123 1254116 00000000000  1 1523516   144
N  523527     1 4891397 1256996 00000000000  1 1523526    89
N  523527     2 4891637 1256996 00000000000  2 0            
N  523527     3 4891667 1256996 00000000000  2 0            
N  523527     4 4891697 1254916 00000000000  2 0            
N  523527     5 4891757 1254896 00000000000  2 0            
N  523527     6 4892027 1254866 00000000000  2 0            
N  523527     7 4892207 1254826 00000000000  2 0            
N  523527     8 4892317 1256956 00000000000  2 0            
N  523527     9 4892337 1256936 00000000000  2 0            
N  523527    10 4892447 1256866 00000000000  2 0            
N  523527    11 4892637 1254966 00000000000  2 0            
N  523527    12 4892717 1254976 00000000000  2 0            
N  523527    13 4892867 1256906 00000000000  2 0            
N  523527    14 4892897 1256896 00000000000  2 0            
N  523527    15 4892917 1254866 00000000000  2 0            
N  523527    16 4892917 1256896 00000000000  2 0            
N  523527    17 4892967 1254876 00000000000  2 0            
N  523527    18 4893047 1254886 00000000000  2 0            
N  523527    19 4893077 1254866 00000000000  2 0            
N  523527    20 4893117 1257116 00000000000  1 1523537    64
N  523527    21 4893227 1257016 00000000000  3 0            
N  523527    22 4893287 1254776 00000000000  2 0            
N  523527    23 4893317 1257016 00000000000  2 0            
N  523527    24 4893367 1256976 00000000000  2 0            
N  523527    25 4893547 1256826 00000000000  2 0            
N  523527    26 4893647 1254636 00000000000  2 0            
N  523527    27 4893677 1256616 00000000000  2 0            
N  523527    28 4893787 1254746 00000000000  2 0            
N  523527    29 4893847 1256656 00000000000  2 0            
N  523527    30 4894057 1254806 00000000000  2 0            
