H  NLA       N01-07L-2K 21996  80
    7781    2441    5340       0       0       0       0
N  513304     1 4808375 1224069 00000000000  1 0            
N  513304     2 4808445 1224119 00000000000  2 1            
N  513304     3 4808475 1224139 00000000000  2 0            
N  513304     4 4808555 1224539 00000000000  2 0            
N  513304     5 4808575 1224389 00000000000  2 0            
N  513304     6 4808585 1224249 00000000000  2 0            
N  513304     7 4808605 1224349 00000000000  3 0            
N  513304     8 4808665 1224629 00000000000  2 0            
N  513304     9 4808675 1224269 00000000000  2 0            
N  513304    10 4808675 1224359 00000000000  2 0            
N  513304    11 4808695 1224139 00000000000  2 0            
N  513304    12 4808725 1224119 00000000000  1 1503374    67
N  513304    13 4808725 1224649 00000000000  2 0            
N  513304    14 4808795 1224789 00000000000  2 0            
N  513304    15 4808805 1224039 00000000000  1 0            
N  513304    16 4808915 1224919 00000000000  2 0            
N  513304    17 4808935 1224119 00000000000  2 1            
N  513304    18 4809055 1224169 00000000000  2 0            
N  513304    19 4809065 1225168 00000000000  2 0            
N  513304    20 4809115 1225188 00000000000  2 0            
N  513304    21 4809295 1224249 00000000000  2 0            
N  513304    22 4809345 1224279 00000000000  2 0            
N  513304    23 4809365 1224329 00000000000  2 0            
N  513304    24 4809375 1225298 00000000000  2 0            
N  513304    25 4809435 1225358 00000000000  2 0            
N  513304    26 4809475 1224049 00000000000  1 0            
N  513304    27 4809495 1224119 00000000000  2 1            
N  513304    28 4809565 1225508 00000000000  2 0            
N  513304    29 4809605 1224579 00000000000  2 0            
N  513304    30 4809695 1225478 00000000000  2 0            
N  513304    31 4809755 1224689 00000000000  2 0            
N  513304    32 4809785 1224709 00000000000  2 0            
N  513304    33 4809825 1224699 00000000000  2 0            
N  513304    34 4809835 1225318 00000000000  2 0            
N  513304    35 4809895 1224699 00000000000  2 0            
N  513304    36 4810055 1225618 00000000000  2 0            
N  513304    37 4810145 1224699 00000000000  2 0            
N  513304    38 4810265 1224709 00000000000  1 0            
N  513304    39 4810295 1225738 00000000000  1 0            
N  513304    40 4810405 1225678 00000000000  1 1513305     4
N  513305     1 4810265 1224709 00000000000  1 0            
N  513305     2 4810295 1225738 00000000000  1 0            
N  513305     3 4810405 1224899 00000000000  1 1            
N  513305     4 4810405 1225678 00000000000  1 1513304    40
N  513305     5 4810405 1225768 00000000000  2 1            
N  513305     6 4810575 1225888 00000000000  2 0            
N  513305     7 4810775 1226208 00000000000  2 0            
N  513305     8 4810805 1225898 00000000000  2 0            
N  513305     9 4810875 1226408 00000000000  2 0            
N  513305    10 4810905 1225968 00000000000  2 0            
N  513305    11 4810925 1226638 00000000000  2 0            
N  513305    12 4810945 1226768 00000000000  2 0            
N  513305    13 4810965 1226858 00000000000  3 0            
N  513305    14 4810965 1226888 00000000000  2 0            
N  513305    15 4810965 1226948 00000000000  2 0            
N  513305    16 4811025 1226998 00000000000  2 0            
N  513305    17 4811115 1226828 00000000000  2 0            
N  513305    18 4811125 1227018 00000000000  2 0            
N  513305    19 4811185 1226818 00000000000  2 0            
N  513305    20 4811225 1227028 00000000000  2 0            
N  513305    21 4811245 1226848 00000000000  2 0            
N  513305    22 4811295 1227048 00000000000  1 0            
N  513305    23 4811415 1225218 00000000000  1 0            
N  513305    24 4811445 1226858 00000000000  2 0            
N  513305    25 4811505 1227108 00000000000  1 0            
N  513305    26 4811675 1225448 00000000000  2 0            
N  513305    27 4811755 1226978 00000000000  2 0            
N  513305    28 4811775 1225448 00000000000  2 0            
N  513305    29 4811805 1226998 00000000000  2 0            
N  513305    30 4811875 1227038 00000000000  2 0            
N  513305    31 4811955 1225398 00000000000  2 0            
N  513305    32 4812035 1227098 00000000000  2 0            
N  513305    33 4812385 1226658 00000000000  2 0            
N  513305    34 4812545 1226448 00000000000  2 0            
N  513305    35 4812575 1226398 00000000000  2 0            
N  513305    36 4812585 1225558 00000000000  2 0            
N  513305    37 4812655 1226298 00000000000  2 0            
N  513305    38 4812665 1224729 00000000000  2 0            
N  513305    39 4812695 1224549 00000000000  2 0            
N  513305    40 4812705 1226218 00000000000  2 0            
N  513305    41 4812725 1224519 00000000000  2 0            
N  513305    42 4812725 1226188 00000000000  2 0            
N  513305    43 4812745 1224379 00000000000  2 0            
N  513305    44 4812745 1224439 00000000000  2 0            
N  513305    45 4812745 1224509 00000000000  2 0            
N  513305    46 4812755 1224979 00000000000  2 0            
N  513305    47 4812865 1225738 00000000000  2 0            
N  513305    48 4812865 1225898 00000000000  3 0            
N  513305    49 4812875 1225848 00000000000  2 0            
N  513305    50 4812935 1224269 00000000000  2 0            
N  513305    51 4812945 1225208 00000000000  2 0            
N  513305    52 4812965 1225758 00000000000  2 0            
N  513305    53 4813025 1225528 00000000000  2 0            
N  513305    54 4813205 1224219 00000000000  2 0            
N  513305    55 4813315 1224119 00000000000  1 1503375    50
N  513305    56 4813365 1224089 00000000000  1 0            
N  513305    57 4813505 1224119 00000000000  2 1            
N  513305    58 4813725 1224169 00000000000  2 0            
N  513305    59 4813925 1224219 00000000000  2 0            
N  513305    60 4814465 1224329 00000000000  1 0            
N  513305    61 4814755 1226428 00000000000  1 0            
N  513305    62 4814905 1226388 00000000000  1 1513306     4
N  513305    63 4814905 1226438 00000000000  1 1513306     6
N  513305    64 4811490 1227089 01000000000  2 0            
N  513305    65 4814875 1226408 00000000000  1 0            
N  513306     1 4814465 1224329 00000000000  1 0            
N  513306     2 4814885 1226428 00000000000  1 0            
N  513306     3 4814905 1224419 00000000000  2 1            
N  513306     4 4814905 1226388 00000000000  1 1513305    62
N  513306     5 4814905 1226418 00000000000  2 1            
N  513306     6 4814905 1226438 00000000000  1 1513305    63
N  513306     7 4814915 1226408 00000000000  2 0            
N  513306     8 4814945 1226488 00000000000  2 0            
N  513306     9 4815025 1226268 00000000000  2 0            
N  513306    10 4815215 1226328 00000000000  2 0            
N  513306    11 4815265 1224549 00000000000  2 0            
N  513306    12 4815325 1226418 00000000000  2 0            
N  513306    13 4815455 1226388 00000000000  2 0            
N  513306    14 4815525 1224479 00000000000  2 0            
N  513306    15 4815585 1226338 00000000000  2 0            
N  513306    16 4815705 1226178 00000000000  2 0            
N  513306    17 4815785 1226178 00000000000  2 0            
N  513306    18 4815995 1224639 00000000000  2 0            
N  513306    19 4816085 1224639 00000000000  4 0            
N  513306    20 4816175 1224389 00000000000  2 0            
N  513306    21 4816215 1224679 00000000000  4 0            
N  513306    22 4816275 1224699 00000000000  4 0            
N  513306    23 4816285 1224119 00000000000  2 1            
N  513306    24 4816335 1224019 00000000000  1 0            
N  513306    25 4816405 1226158 00000000000  2 0            
N  513306    26 4816475 1224949 00000000000  4 0            
N  513306    27 4816495 1224979 00000000000  4 0            
N  513306    28 4816505 1226208 00000000000  2 0            
N  513306    29 4816685 1225129 00000000000  5 0            
N  513306    30 4817025 1225049 00000000000  2 0            
N  513306    31 4817075 1226288 00000000000  2 0            
N  513306    32 4817165 1224979 00000000000  2 0            
N  513306    33 4817215 1226708 00000000000  2 0            
N  513306    34 4817225 1226758 00000000000  1 0            
N  513306    35 4817235 1226618 00000000000  2 0            
N  513306    36 4817255 1226448 00000000000  2 0            
N  513306    37 4817415 1226308 00000000000  2 0            
N  513306    38 4817475 1226178 00000000000  2 0            
N  513306    39 4817485 1226158 00000000000  2 0            
N  513306    40 4817495 1226118 00000000000  2 0            
N  513306    41 4817525 1226248 00000000000  2 0            
N  513306    42 4817555 1225009 00000000000  4 0            
N  513306    43 4817585 1224989 00000000000  5 0            
N  513306    44 4817684 1226148 00000000000  3 0            
N  513306    45 4817734 1225968 00000000000  2 0            
N  513306    46 4817804 1225029 00000000000  4 0            
N  513306    47 4817804 1225788 00000000000  2 0            
N  513306    48 4818064 1225119 00000000000  4 0            
N  513306    49 4818144 1225519 00000000000  2 0            
N  513306    50 4818154 1225129 00000000000  4 0            
N  513306    51 4818284 1225289 00000000000  2 0            
N  513306    52 4818294 1225199 00000000000  2 0            
N  513306    53 4818304 1225159 00000000000  4 0            
N  513306    54 4818404 1225409 00000000000  2 0            
N  513306    55 4818444 1225409 00000000000  2 0            
N  513306    56 4818484 1225169 00000000000  2 0            
N  513306    57 4818554 1225429 00000000000  2 0            
N  513306    58 4818594 1225159 00000000000  2 0            
N  513306    59 4818604 1225369 00000000000  3 0            
N  513306    60 4818704 1225409 00000000000  2 0            
N  513306    61 4818714 1225159 00000000000  2 0            
N  513306    62 4818784 1225419 00000000000  2 0            
N  513306    63 4818874 1225149 00000000000  2 0            
N  513306    64 4818934 1225479 00000000000  2 0            
N  513306    65 4818984 1225479 00000000000  2 0            
N  513306    66 4819004 1225779 00000000000  2 0            
N  513306    67 4819064 1225119 00000000000  1 0            
N  513306    68 4819144 1225579 00000000000  2 0            
N  513306    69 4819174 1226038 00000000000  2 0            
N  513306    70 4819184 1226258 00000000000  2 0            
N  513306    71 4819204 1225469 00000000000  2 0            
N  513306    72 4819214 1225509 00000000000  2 0            
N  513306    73 4819304 1226538 00000000000  1 0            
N  513306    74 4819354 1225958 00000000000  2 0            
N  513306    75 4819404 1225459 00000000000  1 1513307     4
N  513306    76 4819404 1225499 00000000000  1 1513307     5
N  513307     1 4819064 1225119 00000000000  1 0            
N  513307     2 4819304 1226538 00000000000  1 0            
N  513307     3 4819404 1225039 00000000000  2 1            
N  513307     4 4819404 1225459 00000000000  1 1513306    75
N  513307     5 4819404 1225499 00000000000  1 1513306    76
N  513307     6 4819404 1226708 00000000000  2 1            
N  513307     7 4819404 1226818 00000000000  2 1            
N  513307     8 4819444 1225019 00000000000  2 0            
N  513307     9 4819494 1224999 00000000000  2 0            
N  513307    10 4819524 1225479 00000000000  3 0            
N  513307    11 4819574 1225019 00000000000  2 0            
N  513307    12 4819774 1225489 00000000000  2 0            
N  513307    13 4819804 1225109 00000000000  2 0            
N  513307    14 4819964 1225489 00000000000  2 0            
N  513307    15 4820154 1225169 00000000000  2 0            
N  513307    16 4820374 1225559 00000000000  2 0            
N  513307    17 4820444 1225149 00000000000  2 0            
N  513307    18 4820614 1225209 00000000000  2 0            
N  513307    19 4821144 1225329 00000000000  2 0            
N  513307    20 4821204 1225349 00000000000  3 0            
N  513307    21 4821234 1225819 00000000000  2 0            
N  513307    22 4821344 1225329 00000000000  2 0            
N  513307    23 4821454 1225319 00000000000  2 0            
N  513307    24 4821514 1225809 00000000000  2 0            
N  513307    25 4821754 1225339 00000000000  2 0            
N  513307    26 4821814 1224969 00000000000  2 0            
N  513307    27 4821844 1224479 00000000000  2 0            
N  513307    28 4821844 1224859 00000000000  2 0            
N  513307    29 4821844 1224959 00000000000  2 0            
N  513307    30 4821874 1224829 00000000000  2 0            
N  513307    31 4821904 1224119 00000000000  1 1503377     9
N  513307    32 4821904 1224699 00000000000  2 0            
N  513307    33 4821924 1225299 00000000000  2 0            
N  513307    34 4822164 1225309 00000000000  2 0            
N  513307    35 4822174 1225669 00000000000  2 0            
N  513307    36 4822674 1225669 00000000000  2 0            
N  513307    37 4822774 1225259 00000000000  2 0            
N  513307    38 4822804 1225659 00000000000  2 0            
N  513307    39 4822824 1225269 00000000000  2 0            
N  513307    40 4822884 1225309 00000000000  2 0            
N  513307    41 4823044 1225349 00000000000  2 0            
N  513307    42 4823094 1225349 00000000000  2 0            
N  513307    43 4823384 1225339 00000000000  1 0            
N  513307    44 4823904 1225709 00000000000  1 1513400     3
N  513307    45 4819407 1226812 00000000000  2 0            
N  513307    46 4819624 1226998 00000000000  1 0            
N  513315     1 4811025 1226998 00000000000  1 0            
N  513315     2 4811065 1227108 00000000000  2 0            
N  513315     3 4811065 1227138 00000000000  2 0            
N  513315     4 4811075 1227168 00000000000  2 0            
N  513315     5 4811095 1227208 00000000000  2 0            
N  513315     6 4811105 1227248 00000000000  2 0            
N  513315     7 4811135 1227338 00000000000  2 0            
N  513315     8 4811245 1227628 00000000000  2 0            
N  513315     9 4811265 1229928 00000000000  2 0            
N  513315    10 4811295 1227048 00000000000  1 0            
N  513315    11 4811295 1230078 00000000000  1 0            
N  513315    12 4811305 1229468 00000000000  2 0            
N  513315    13 4811325 1227798 00000000000  2 0            
N  513315    14 4811335 1229408 00000000000  2 0            
N  513315    15 4811375 1227108 00000000000  2 0            
N  513315    16 4811385 1227918 00000000000  2 0            
N  513315    17 4811405 1228728 00000000000  2 0            
N  513315    18 4811425 1228468 00000000000  1 0            
N  513315    19 4811435 1228578 00000000000  2 0            
N  513315    20 4811435 1228628 00000000000  2 0            
N  513315    21 4811435 1228668 00000000000  2 0            
N  513315    22 4811465 1228578 00000000000  2 0            
N  513315    23 4811475 1228118 00000000000  3 0            
N  513315    24 4811475 1228478 00000000000  2 0            
N  513315    25 4811475 1228628 00000000000  2 0            
N  513315    26 4811475 1228928 00000000000  2 0            
N  513315    27 4811485 1228448 00000000000  2 0            
N  513315    28 4811485 1228668 00000000000  2 0            
N  513315    29 4811495 1228348 00000000000  2 0            
N  513315    30 4811495 1228378 00000000000  2 0            
N  513315    31 4811505 1227108 00000000000  1 0            
N  513315    32 4811505 1227228 00000000000  2 0            
N  513315    33 4811515 1228188 00000000000  2 0            
N  513315    34 4811525 1228218 00000000000  2 0            
N  513315    35 4811555 1227288 00000000000  2 0            
N  513315    36 4811565 1228788 00000000000  2 0            
N  513315    37 4811585 1227958 00000000000  2 0            
N  513315    38 4811715 1227708 00000000000  2 0            
N  513315    39 4811745 1227548 00000000000  2 0            
N  513315    40 4811765 1227578 00000000000  4 0            
N  513315    41 4811805 1227638 00000000000  2 0            
N  513315    42 4811805 1228538 00000000000  2 0            
N  513315    43 4811805 1228788 00000000000  3 0            
N  513315    44 4811885 1227278 00000000000  2 0            
N  513315    45 4811895 1228498 00000000000  2 0            
N  513315    46 4811905 1227488 00000000000  2 0            
N  513315    47 4811905 1228798 00000000000  6 0            
N  513315    48 4811915 1227798 00000000000  2 0            
