H  NLA       N01-07L-2K 21996  80
   20429    6137   14292       0       0       0       0
N  584027     1 5071375 1400864 00000000000  1 1584026    27
N  584027     2 5071385 1400864 00000000000  2 0            
N  584027     3 5071475 1400874 00000000000  2 0            
N  584027     4 5071595 1400854 00000000000  2 0            
N  584027     5 5071685 1400844 00000000000  2 0            
N  584027     6 5071715 1400794 00000000000  2 0            
N  584027     7 5071725 1400784 00000000000  2 0            
N  584027     8 5071905 1400714 00000000000  2 0            
N  584027     9 5071955 1400734 00000000000  2 0            
N  584027    10 5072255 1400654 00000000000  2 0            
N  584027    11 5072315 1400624 00000000000  3 0            
N  584027    12 5072335 1400644 00000000000  2 0            
N  584027    13 5072515 1400494 00000000000  2 0            
N  584027    14 5072565 1400684 00000000000  2 0            
N  584027    15 5072615 1400844 00000000000  2 0            
N  584027    16 5072625 1400814 00000000000  2 0            
N  584027    17 5072665 1400694 00000000000  2 0            
N  584027    18 5072665 1401014 00000000000  1 0            
N  584027    19 5072745 1400354 00000000000  2 0            
N  584027    20 5073025 1400644 00000000000  2 0            
N  584027    21 5073165 1400524 00000000000  2 0            
N  584027    22 5073255 1400464 00000000000  2 0            
N  584027    23 5073915 1400154 00000000000  2 0            
N  584027    24 5074015 1400124 00000000000  2 0            
N  584027    25 5074165 1400034 00000000000  2 0            
N  584027    26 5074265 1399334 00000000000  2 0            
N  584027    27 5074285 1399654 00000000000  2 0            
N  584027    28 5074315 1399194 00000000000  2 0            
N  584027    29 5074375 1398934 00000000000  2 0            
N  584027    30 5074385 1398904 00000000000  2 0            
N  584027    31 5074725 1398264 00000000000  2 0            
N  584027    32 5074955 1398104 00000000000  3 1584017    14
N  584027    33 5075185 1399854 00000000000  2 0            
N  584027    34 5075345 1398024 00000000000  1 0            
N  584027    35 5075874 1399994 00000000000  1 1584120     1
N  584036     1 5066875 1404043 00000000000  1 1            
N  584036     2 5066975 1404083 00000000000  2 0            
N  584036     3 5067025 1404013 00000000000  2 0            
N  584036     4 5067025 1404083 00000000000  2 0            
N  584036     5 5067045 1403963 00000000000  2 0            
N  584036     6 5067055 1403923 00000000000  2 0            
N  584036     7 5067195 1403873 00000000000  2 0            
N  584036     8 5067255 1403833 00000000000  2 0            
N  584036     9 5067365 1403783 00000000000  2 0            
N  584036    10 5067465 1403613 00000000000  2 0            
N  584036    11 5067495 1403543 00000000000  2 0            
N  584036    12 5067495 1403693 00000000000  2 0            
N  584036    13 5067495 1403763 00000000000  2 0            
N  584036    14 5067535 1403413 00000000000  2 0            
N  584036    15 5067555 1403253 00000000000  2 0            
N  584036    16 5067555 1403333 00000000000  2 0            
N  584036    17 5067565 1403263 00000000000  2 0            
N  584036    18 5067585 1403293 00000000000  2 0            
N  584036    19 5067655 1403263 00000000000  2 0            
N  584036    20 5067675 1403263 00000000000  2 0            
N  584036    21 5067715 1403263 00000000000  2 0            
N  584036    22 5067855 1403563 00000000000  2 0            
N  584036    23 5068035 1403683 00000000000  2 0            
N  584036    24 5068165 1403713 00000000000  2 0            
N  584036    25 5068195 1403693 00000000000  2 0            
N  584036    26 5068535 1403903 00000000000  1 0            
N  584036    27 5069265 1404103 00000000000  1 1584046     5
N  584036    28 5069285 1404053 00000000000  2 0            
N  584036    29 5069755 1401824 00000000000  2 0            
N  584036    30 5069795 1403783 00000000000  2 0            
N  584036    31 5069795 1403903 00000000000  2 0            
N  584036    32 5069805 1401774 00000000000  2 0            
N  584036    33 5069965 1403883 00000000000  2 0            
N  584036    34 5069995 1403963 00000000000  1 0            
N  584036    35 5070065 1401574 00000000000  2 0            
N  584036    36 5070395 1401104 00000000000  1 1584026    18
N  584036    37 5068940 1402012 00000000000  1 0            
N  584037     1 5072245 1404103 00000000000  1 1584047     6
N  584037     2 5072625 1403663 00000000000  2 0            
N  584037     3 5072665 1401014 00000000000  1 0            
N  584037     4 5072705 1401104 00000000000  2 1            
N  584037     5 5072745 1401214 00000000000  2 0            
N  584037     6 5072825 1403513 00000000000  2 0            
N  584037     7 5072855 1401294 00000000000  2 0            
N  584037     8 5073005 1401214 00000000000  2 0            
N  584037     9 5073125 1401724 00000000000  2 0            
N  584037    10 5073155 1401274 00000000000  2 0            
N  584037    11 5073195 1401514 00000000000  2 0            
N  584037    12 5073195 1401524 00000000000  2 0            
N  584037    13 5073205 1401884 00000000000  2 0            
N  584037    14 5073295 1402014 00000000000  2 0            
N  584037    15 5073355 1402124 00000000000  2 0            
N  584037    16 5073435 1402214 00000000000  2 0            
N  584037    17 5073435 1403124 00000000000  2 0            
N  584037    18 5073455 1403124 00000000000  2 0            
N  584037    19 5073585 1402304 00000000000  2 0            
N  584037    20 5073745 1402414 00000000000  2 0            
N  584037    21 5073804 1402734 00000000000  2 0            
N  584037    22 5073834 1403034 00000000000  2 0            
N  584037    23 5073844 1403074 00000000000  3 0            
N  584037    24 5073864 1402974 00000000000  2 0            
N  584037    25 5073894 1402614 00000000000  2 0            
N  584037    26 5074104 1403314 00000000000  2 0            
N  584037    27 5074124 1403434 00000000000  2 0            
N  584037    28 5074154 1403064 00000000000  3 0            
N  584037    29 5074174 1403194 00000000000  2 0            
N  584037    30 5074174 1403564 00000000000  2 0            
N  584037    31 5074274 1403674 00000000000  2 0            
N  584037    32 5074454 1403704 00000000000  2 0            
N  584037    33 5074464 1403933 00000000000  2 0            
N  584037    34 5074504 1403993 00000000000  2 0            
N  584037    35 5074554 1403993 00000000000  2 0            
N  584037    36 5074614 1403844 00000000000  2 0            
N  584037    37 5074614 1403874 00000000000  2 0            
N  584037    38 5074844 1403004 00000000000  2 0            
N  584037    39 5074904 1403014 00000000000  2 0            
N  584037    40 5074914 1403984 00000000000  2 0            
N  584037    41 5075264 1404004 00000000000  2 0            
N  584037    42 5075534 1404014 00000000000  3 0            
N  584037    43 5075554 1403054 00000000000  2 0            
N  584037    44 5075664 1404034 00000000000  1 0            
N  584037    45 5075664 1404044 00000000000  1 0            
N  584037    46 5075784 1402964 00000000000  2 0            
N  584037    47 5075844 1402934 00000000000  1 0            
N  584046     1 5068535 1403903 00000000000  1 0            
N  584046     2 5068695 1404103 00000000000  2 1            
N  584046     3 5068785 1404103 00000000000  2 1            
N  584046     4 5069105 1404103 00000000000  2 1            
N  584046     5 5069265 1404103 00000000000  1 1584036    27
N  584046     6 5069995 1403963 00000000000  1 0            
N  584046     7 5070095 1404103 00000000000  2 1            
N  584046     8 5070165 1404103 00000000000  2 1            
N  584046     9 5070185 1404103 00000000000  2 1            
N  584046    10 5070375 1404183 00000000000  2 0            
N  584046    11 5070455 1404173 00000000000  2 0            
N  584046    12 5070795 1404153 00000000000  2 0            
N  584046    13 5070945 1404153 00000000000  2 0            
N  584046    14 5071165 1404313 00000000000  2 0            
N  584046    15 5071195 1404453 00000000000  1 0            
N  584047     1 5071195 1404453 00000000000  1 0            
N  584047     2 5071375 1404513 00000000000  2 1            
N  584047     3 5071585 1404513 00000000000  2 0            
N  584047     4 5071645 1404533 00000000000  2 0            
N  584047     5 5071675 1404553 00000000000  2 0            
N  584047     6 5072245 1404103 00000000000  1 1584037     1
N  584047     7 5072275 1404133 00000000000  2 0            
N  584047     8 5075544 1407103 00000000000  1 1584057    39
N  584047     9 5075754 1407003 00000000000  1 0            
N  584056     1 5066835 1409943 00000000000  1 0            
N  584056     2 5066875 1409793 00000000000  2 1            
N  584056     3 5066875 1409813 00000000000  2 1            
N  584056     4 5066875 1409963 00000000000  2 1            
N  584056     5 5067155 1409593 00000000000  2 0            
N  584056     6 5067175 1409473 00000000000  2 0            
N  584056     7 5067315 1409453 00000000000  2 0            
N  584056     8 5067495 1409413 00000000000  2 0            
N  584056     9 5067575 1409383 00000000000  2 0            
N  584056    10 5067605 1409373 00000000000  2 0            
N  584056    11 5067635 1409223 00000000000  2 0            
N  584056    12 5067635 1409263 00000000000  2 0            
N  584056    13 5068255 1408803 00000000000  2 0            
N  584056    14 5069065 1408783 00000000000  2 0            
N  584056    15 5069445 1408623 00000000000  2 0            
N  584056    16 5069875 1408543 00000000000  2 0            
N  584056    17 5070255 1408163 00000000000  2 0            
N  584056    18 5070875 1407923 00000000000  2 0            
N  584056    19 5071295 1407773 00000000000  1 0            
N  584057     1 5071295 1407773 00000000000  1 0            
