H  NLA       N01-07L-2K 21996  80
   10896    3122    7774       0       0       0       0
N  603957     1 5037846 1455446 00000000000  2 0            
N  603957     2 5037886 1455806 00000000000  2 0            
N  603957     3 5037896 1455426 00000000000  2 0            
N  603957     4 5037906 1456276 00000000000  2 0            
N  603957     5 5037946 1456326 00000000000  2 0            
N  603957     6 5037946 1456456 00000000000  2 0            
N  603957     7 5037986 1456536 00000000000  2 0            
N  603957     8 5038026 1456696 00000000000  2 0            
N  603957     9 5038086 1457046 00000000000  2 0            
N  603957    10 5038126 1455226 00000000000  2 0            
N  603957    11 5038126 1457276 00000000000  2 0            
N  603957    12 5038126 1457306 00000000000  2 0            
N  603957    13 5038156 1457496 00000000000  2 0            
N  603957    14 5038166 1457536 00000000000  2 0            
N  603957    15 5038166 1457606 00000000000  2 0            
N  603957    16 5038176 1455096 00000000000  2 1            
N  603957    17 5038216 1457726 00000000000  1 0            
N  603957    18 5038236 1454967 00000000000  1 0            
N  603967     1 5036036 1461096 00000000000  1 1603977    13
N  603967     2 5036166 1461056 00000000000  1 0            
N  603967     3 5037195 1461026 00000000000  1 0            
N  603967     4 5037235 1460986 00000000000  2 0            
N  603967     5 5037335 1460926 00000000000  2 0            
N  603967     6 5037395 1460896 00000000000  3 0            
N  603967     7 5037435 1460856 00000000000  2 0            
N  603967     8 5037525 1460726 00000000000  2 0            
N  603967     9 5037645 1460266 00000000000  2 0            
N  603967    10 5037685 1460176 00000000000  2 0            
N  603967    11 5037775 1460076 00000000000  2 0            
N  603967    12 5037825 1460036 00000000000  2 0            
N  603967    13 5037915 1459856 00000000000  2 0            
N  603967    14 5037945 1459816 00000000000  2 0            
N  603967    15 5038106 1459256 00000000000  2 0            
N  603967    16 5038116 1459166 00000000000  2 0            
N  603967    17 5038136 1459076 00000000000  2 0            
N  603967    18 5038156 1459016 00000000000  2 0            
N  603967    19 5038186 1458166 00000000000  2 0            
N  603967    20 5038206 1458796 00000000000  2 0            
N  603967    21 5038216 1457726 00000000000  1 0            
N  603967    22 5038216 1458096 00000000000  2 1            
N  603967    23 5038216 1458396 00000000000  2 0            
N  603967    24 5038246 1458576 00000000000  2 0            
N  603967    25 5039875 1460902 00000000000  1 1604060     1
N  603976     1 5035206 1461816 00000000000  2 0            
N  603976     2 5035246 1461886 00000000000  1 0            
N  603976     3 5035376 1461616 00000000000  1 1603977     2
N  603977     1 5035246 1461886 00000000000  1 0            
N  603977     2 5035376 1461616 00000000000  1 1603976     3
N  603977     3 5035376 1461986 00000000000  2 1            
N  603977     4 5035376 1462056 00000000000  2 1            
N  603977     5 5035376 1462096 00000000000  2 1            
N  603977     6 5035376 1462136 00000000000  2 1            
N  603977     7 5035376 1462236 00000000000  2 1            
N  603977     8 5035406 1462256 00000000000  2 0            
N  603977     9 5035446 1461306 00000000000  2 0            
N  603977    10 5035716 1461166 00000000000  2 0            
