H  NLA       N01-07L-2K 21996  80
   12803    3810    8993       0       0       0       0
N  493206     1 4780399 1179123 00000000000  1 1493216    23
N  493206     2 4780529 1178973 00000000000  2 0            
N  493206     3 4780669 1179003 00000000000  2 0            
N  493206     4 4780899 1179083 00000000000  2 0            
N  493206     5 4780969 1179103 00000000000  1 0            
N  493207     1 4786808 1178384 00000000000  2 0            
N  493207     2 4786808 1179124 00000000000  1 1493217    34
N  493207     3 4786938 1178434 00000000000  2 0            
N  493207     4 4786978 1178834 00000000000  2 0            
N  493207     5 4786988 1178414 00000000000  2 0            
N  493207     6 4787068 1178394 00000000000  2 0            
N  493207     7 4787248 1178454 00000000000  2 0            
N  493207     8 4787398 1178394 00000000000  2 0            
N  493207     9 4787648 1178364 00000000000  1 0            
N  493215     1 4774579 1179753 00000000000  1 0            
N  493215     2 4774679 1179603 00000000000  2 0            
N  493215     3 4774769 1179613 00000000000  2 0            
N  493215     4 4774939 1179663 00000000000  2 0            
N  493215     5 4774989 1180033 00000000000  2 0            
N  493215     6 4775019 1179963 00000000000  2 0            
N  493215     7 4775049 1179783 00000000000  2 0            
N  493215     8 4775069 1180083 00000000000  2 0            
N  493215     9 4775249 1180163 00000000000  2 0            
N  493215    10 4775529 1180173 00000000000  2 0            
N  493215    11 4775759 1180223 00000000000  2 0            
N  493215    12 4775909 1180273 00000000000  2 0            
N  493215    13 4776089 1180363 00000000000  2 0            
N  493215    14 4776169 1180543 00000000000  2 0            
N  493215    15 4776419 1180603 00000000000  2 0            
N  493215    16 4776569 1180623 00000000000  2 0            
N  493215    17 4776689 1180813 00000000000  2 0            
N  493215    18 4776989 1181043 00000000000  2 0            
N  493215    19 4777439 1181463 00000000000  2 0            
N  493215    20 4777449 1181293 00000000000  2 0            
N  493215    21 4777449 1181313 00000000000  2 0            
N  493215    22 4777479 1181783 00000000000  2 0            
N  493215    23 4777499 1181633 00000000000  1 0            
N  493215    24 4777519 1181623 00000000000  2 0            
N  493215    25 4777529 1181843 00000000000  2 0            
N  493215    26 4777529 1182063 00000000000  2 0            
N  493215    27 4777539 1182113 00000000000  1 0            
N  493215    28 4777559 1181953 00000000000  2 0            
N  493215    29 4777649 1181623 00000000000  2 0            
N  493215    30 4777839 1181673 00000000000  2 0            
N  493215    31 4777919 1181653 00000000000  2 0            
N  493215    32 4777959 1181643 00000000000  2 0            
N  493215    33 4778019 1181583 00000000000  2 0            
N  493215    34 4778029 1181573 00000000000  2 0            
N  493215    35 4778069 1181543 00000000000  2 0            
N  493215    36 4778269 1181283 00000000000  2 0            
N  493215    37 4778399 1181013 00000000000  2 0            
N  493215    38 4778409 1181003 00000000000  2 0            
N  493215    39 4778479 1180823 00000000000  2 0            
N  493215    40 4778599 1180733 00000000000  2 0            
N  493215    41 4778779 1180563 00000000000  2 0            
N  493215    42 4778879 1180533 00000000000  1 0            
N  493216     1 4778879 1180533 00000000000  1 0            
N  493216     2 4778909 1180523 00000000000  2 1            
N  493216     3 4779009 1180463 00000000000  2 0            
N  493216     4 4779289 1180273 00000000000  2 0            
N  493216     5 4779399 1180143 00000000000  2 0            
N  493216     6 4779439 1180113 00000000000  2 0            
N  493216     7 4779529 1180073 00000000000  2 0            
N  493216     8 4779579 1179663 00000000000  2 0            
N  493216     9 4779579 1179993 00000000000  2 0            
N  493216    10 4779589 1179633 00000000000  3 0            
N  493216    11 4779589 1179693 00000000000  2 0            
N  493216    12 4779609 1179603 00000000000  2 0            
N  493216    13 4779609 1179763 00000000000  2 0            
N  493216    14 4779609 1179913 00000000000  2 0            
N  493216    15 4779619 1179853 00000000000  2 0            
N  493216    16 4779679 1179533 00000000000  2 0            
N  493216    17 4779879 1179323 00000000000  2 0            
N  493216    18 4779979 1182113 00000000000  1 0            
N  493216    19 4780199 1179223 00000000000  2 0            
N  493216    20 4780239 1179273 00000000000  2 0            
N  493216    21 4780299 1179253 00000000000  2 0            
N  493216    22 4780329 1179243 00000000000  2 0            
N  493216    23 4780399 1179123 00000000000  1 1493206     1
N  493216    24 4780399 1181733 00000000000  2 0            
N  493216    25 4780639 1181723 00000000000  2 0            
N  493216    26 4780669 1181713 00000000000  2 0            
N  493216    27 4780939 1181553 00000000000  2 0            
N  493216    28 4780969 1179103 00000000000  1 0            
N  493216    29 4781059 1179123 00000000000  2 1            
N  493216    30 4781259 1179433 00000000000  2 0            
N  493216    31 4781269 1179453 00000000000  2 0            
N  493216    32 4781279 1181453 00000000000  2 0            
N  493216    33 4781369 1179303 00000000000  2 0            
N  493216    34 4781569 1180723 00000000000  2 0            
N  493216    35 4781589 1180923 00000000000  2 0            
N  493216    36 4781759 1179523 00000000000  2 0            
N  493216    37 4781849 1180353 00000000000  2 0            
N  493216    38 4781969 1179653 00000000000  2 0            
N  493216    39 4781999 1179923 00000000000  2 0            
N  493216    40 4782069 1179783 00000000000  2 0            
N  493216    41 4782079 1180283 00000000000  2 0            
N  493216    42 4782269 1180253 00000000000  3 0            
N  493216    43 4782279 1180233 00000000000  2 0            
N  493216    44 4782299 1180283 00000000000  2 0            
N  493216    45 4782449 1180213 00000000000  2 0            
N  493216    46 4782809 1180343 00000000000  2 0            
N  493216    47 4783309 1180433 00000000000  2 0            
N  493216    48 4783339 1180423 00000000000  1 0            
N  493217     1 4783339 1180423 00000000000  1 0            
N  493217     2 4783409 1180453 00000000000  2 1            
N  493217     3 4783739 1180483 00000000000  2 0            
N  493217     4 4784159 1180743 00000000000  2 0            
N  493217     5 4784259 1180823 00000000000  2 0            
N  493217     6 4784279 1180833 00000000000  2 0            
N  493217     7 4784299 1180833 00000000000  2 0            
N  493217     8 4784529 1180583 00000000000  2 0            
N  493217     9 4784558 1180603 00000000000  2 0            
N  493217    10 4784778 1180373 00000000000  2 0            
N  493217    11 4785558 1180213 00000000000  2 0            
N  493217    12 4785738 1180303 00000000000  2 0            
N  493217    13 4785978 1180353 00000000000  2 0            
N  493217    14 4785998 1181653 00000000000  2 0            
N  493217    15 4786018 1181573 00000000000  2 0            
N  493217    16 4786058 1181433 00000000000  2 0            
N  493217    17 4786088 1181323 00000000000  2 0            
N  493217    18 4786228 1181233 00000000000  2 0            
N  493217    19 4786308 1182113 00000000000  1 0            
N  493217    20 4786318 1181183 00000000000  2 0            
N  493217    21 4786408 1181003 00000000000  2 0            
N  493217    22 4786418 1181753 00000000000  2 0            
N  493217    23 4786468 1180963 00000000000  2 0            
N  493217    24 4786498 1179533 00000000000  2 0            
N  493217    25 4786528 1179823 00000000000  2 0            
N  493217    26 4786538 1180063 00000000000  4 0            
N  493217    27 4786558 1179364 00000000000  2 0            
N  493217    28 4786648 1179414 00000000000  2 0            
N  493217    29 4786678 1180773 00000000000  2 0            
N  493217    30 4786698 1180493 00000000000  4 0            
N  493217    31 4786728 1180543 00000000000  4 0            
N  493217    32 4786748 1180633 00000000000  4 0            
N  493217    33 4786758 1179913 00000000000  2 0            
N  493217    34 4786808 1179124 00000000000  1 1493207     2
N  493217    35 4786858 1179903 00000000000  2 0            
N  493217    36 4786858 1179933 00000000000  2 0            
N  493217    37 4786858 1179953 00000000000  2 0            
N  493217    38 4786868 1179184 00000000000  2 0            
N  493217    39 4786868 1180673 00000000000  2 0            
N  493217    40 4787048 1180643 00000000000  2 0            
N  493217    41 4787208 1180523 00000000000  2 0            
N  493217    42 4787738 1180453 00000000000  2 0            
N  493217    43 4787888 1180303 00000000000  1 0            
N  493225     1 4777469 1182303 00000000000  2 0            
N  493225     2 4777489 1182213 00000000000  2 0            
N  493225     3 4777539 1182113 00000000000  1 0            
N  493225     4 4777609 1185123 00000000000  1 1493235    26
N  493225     5 4777819 1184843 00000000000  2 0            
N  493225     6 4777839 1182783 00000000000  2 0            
N  493225     7 4777899 1183133 00000000000  2 0            
N  493225     8 4777919 1183203 00000000000  2 0            
N  493225     9 4777919 1184633 00000000000  2 0            
N  493225    10 4777929 1183363 00000000000  2 0            
N  493225    11 4777959 1184243 00000000000  2 0            
N  493225    12 4777969 1184413 00000000000  2 0            
N  493225    13 4777979 1184353 00000000000  2 0            
N  493225    14 4778019 1183713 00000000000  3 0            
N  493225    15 4778019 1184153 00000000000  2 0            
N  493225    16 4778029 1183853 00000000000  4 0            
N  493225    17 4778099 1183483 00000000000  2 0            
N  493225    18 4778099 1183503 00000000000  2 0            
N  493225    19 4778129 1184113 00000000000  2 0            
