H  NLA       N01-07L-2K 21996  80
   21851    6589   15262       0       0       0       0
N  523654     1 4913825 1263726 00000000000  1 0            
N  523654     2 4913895 1263736 00000000000  2 1            
N  523654     3 4913895 1266115 00000000000  2 1523664     3
N  523654     4 4913935 1266035 00000000000  5 0            
N  523654     5 4914005 1265945 00000000000  4 0            
N  523654     6 4914035 1263746 00000000000  2 0            
N  523654     7 4914045 1263246 00000000000  2 0            
N  523654     8 4914045 1263266 00000000000  3 0            
N  523654     9 4914065 1263106 00000000000  1 0            
N  523654    10 4914145 1265855 00000000000  4 0            
N  523654    11 4914165 1263466 00000000000  2 0            
N  523654    12 4914205 1263566 00000000000  2 0            
N  523654    13 4914205 1263756 00000000000  2 0            
N  523654    14 4914205 1265835 00000000000  4 0            
N  523654    15 4914225 1264156 00000000000  2 0            
N  523654    16 4914235 1263836 00000000000  4 0            
N  523654    17 4914235 1263916 00000000000  4 0            
N  523654    18 4914245 1263756 00000000000  2 0            
N  523654    19 4914295 1265805 00000000000  4 0            
N  523654    20 4914305 1264016 00000000000  2 0            
N  523654    21 4914355 1265606 00000000000  5 0            
N  523654    22 4914355 1265656 00000000000  4 0            
N  523654    23 4914385 1265476 00000000000  4 0            
N  523654    24 4914455 1265186 00000000000  4 0            
N  523654    25 4914585 1265126 00000000000  5 0            
N  523654    26 4914615 1265096 00000000000  3 0            
N  523654    27 4914635 1263986 00000000000  2 0            
N  523654    28 4914645 1265086 00000000000  2 0            
N  523654    29 4914675 1265066 00000000000  2 0            
N  523654    30 4914745 1266045 00000000000  1 0            
N  523654    31 4914755 1265516 00000000000  3 0            
N  523654    32 4914765 1266015 00000000000  2 0            
N  523654    33 4914805 1265476 00000000000  2 0            
N  523654    34 4914805 1265706 00000000000  2 0            
N  523654    35 4914885 1264716 00000000000  2 0            
N  523654    36 4914915 1263906 00000000000  2 0            
N  523654    37 4914915 1265366 00000000000  2 0            
N  523654    38 4914945 1264606 00000000000  2 0            
N  523654    39 4914955 1263896 00000000000  2 0            
N  523654    40 4914985 1264556 00000000000  2 0            
N  523654    41 4915105 1264296 00000000000  2 0            
N  523654    42 4915125 1265176 00000000000  2 0            
N  523654    43 4915145 1263846 00000000000  2 0            
N  523654    44 4915185 1265126 00000000000  2 0            
N  523654    45 4915325 1263926 00000000000  2 0            
N  523654    46 4915384 1264936 00000000000  2 0            
N  523654    47 4915395 1263976 00000000000  2 0            
N  523654    48 4915425 1264056 00000000000  2 0            
N  523654    49 4915435 1264036 00000000000  2 0            
N  523654    50 4915455 1263976 00000000000  4 0            
N  523654    51 4915525 1263976 00000000000  2 0            
N  523654    52 4915595 1263586 00000000000  2 0            
N  523654    53 4915604 1264586 00000000000  2 0            
N  523654    54 4915625 1264026 00000000000  2 0            
N  523654    55 4915635 1263506 00000000000  2 0            
N  523654    56 4915645 1263476 00000000000  2 0            
N  523654    57 4915694 1263296 00000000000  2 0            
N  523654    58 4915694 1264056 00000000000  2 0            
N  523654    59 4915744 1264116 00000000000  2 0            
N  523654    60 4915754 1263266 00000000000  2 0            
N  523654    61 4915754 1264436 00000000000  2 0            
N  523654    62 4915764 1264146 00000000000  2 0            
N  523654    63 4915824 1263166 00000000000  2 0            
N  523654    64 4915864 1264246 00000000000  2 0            
N  523654    65 4915884 1263106 00000000000  2 0            
N  523654    66 4915914 1262986 00000000000  1 0            
N  523654    67 4915914 1264306 00000000000  3 0            
N  523654    68 4915944 1264286 00000000000  2 0            
N  523654    69 4916014 1264246 00000000000  2 0            
N  523654    70 4916074 1263106 00000000000  1 0            
N  523654    71 4916144 1263696 00000000000  2 0            
N  523654    72 4916154 1263186 00000000000  2 0            
N  523654    73 4916214 1263216 00000000000  2 0            
N  523654    74 4916234 1264096 00000000000  2 0            
N  523654    75 4916244 1263496 00000000000  2 0            
N  523654    76 4916264 1263886 00000000000  2 0            
N  523654    77 4916284 1263926 00000000000  2 0            
N  523654    78 4916314 1263306 00000000000  2 0            
