H  NLA       N01-07L-2K 21996  80
   17226    5215   12011       0       0       0       0
N  503067     1 4711294 1218537 00000000000  1 0            
N  503067     2 4711344 1219267 00000000000  1 0            
N  503067     3 4711344 1219397 00000000000  2 0            
N  503067     4 4711354 1219957 00000000000  1 0            
N  503067     5 4711354 1220137 00000000000  1 0            
N  503067     6 4711374 1218507 00000000000  1 0            
N  503067     7 4711414 1218047 00000000000  1 0            
N  503067     8 4711414 1218487 00000000000  2 1            
N  503067     9 4711414 1218707 00000000000  2 1            
N  503067    10 4711414 1219137 00000000000  1 1503066   188
N  503067    11 4711414 1219147 00000000000  1 1503066   189
N  503067    12 4711414 1219307 00000000000  1 1503066   190
N  503067    13 4711414 1219327 00000000000  2 1            
N  503067    14 4711414 1219387 00000000000  2 1            
N  503067    15 4711414 1219467 00000000000  2 1            
N  503067    16 4711414 1219557 00000000000  1 1503066   191
N  503067    17 4711414 1219637 00000000000  1 1503066   192
N  503067    18 4711414 1219927 00000000000  2 1            
N  503067    19 4711414 1219937 00000000000  2 1            
N  503067    20 4711414 1220017 00000000000  2 1            
N  503067    21 4711414 1220027 00000000000  1 1503066   193
N  503067    22 4711444 1219377 00000000000  2 0            
N  503067    23 4711444 1219787 00000000000  2 0            
N  503067    24 4711464 1218107 00000000000  2 0            
N  503067    25 4711474 1218827 00000000000  2 0            
N  503067    26 4711484 1219697 00000000000  2 0            
N  503067    27 4711494 1219037 00000000000  2 0            
N  503067    28 4711504 1218167 00000000000  2 0            
N  503067    29 4711504 1218817 00000000000  2 0            
N  503067    30 4711504 1219037 00000000000  2 0            
N  503067    31 4711504 1219857 00000000000  2 0            
N  503067    32 4711504 1219907 00000000000  3 0            
N  503067    33 4711514 1219667 00000000000  2 0            
N  503067    34 4711544 1219897 00000000000  2 0            
N  503067    35 4711584 1219877 00000000000  2 0            
N  503067    36 4711604 1218547 00000000000  2 0            
N  503067    37 4711604 1219987 00000000000  2 0            
N  503067    38 4711624 1219837 00000000000  2 0            
N  503067    39 4711634 1218747 00000000000  3 0            
N  503067    40 4711654 1219837 00000000000  3 0            
N  503067    41 4711664 1219897 00000000000  2 0            
N  503067    42 4711674 1218467 00000000000  2 0            
N  503067    43 4711674 1218777 00000000000  2 0            
N  503067    44 4711674 1219077 00000000000  2 0            
N  503067    45 4711684 1219307 00000000000  2 0            
N  503067    46 4711684 1219937 00000000000  2 0            
N  503067    47 4711694 1219377 00000000000  4 0            
N  503067    48 4711694 1219407 00000000000  3 0            
N  503067    49 4711694 1219977 00000000000  4 0            
N  503067    50 4711704 1218447 00000000000  4 0            
N  503067    51 4711714 1220037 00000000000  1 0            
N  503067    52 4711724 1219817 00000000000  3 0            
N  503067    53 4711734 1219237 00000000000  2 0            
N  503067    54 4711744 1218637 00000000000  2 0            
N  503067    55 4711744 1219887 00000000000  1 0            
N  503067    56 4711754 1218427 01000000000  2 0            
N  503067    57 4711754 1219177 00000000000  2 0            
N  503067    58 4711764 1218547 00000000000  2 0            
N  503067    59 4711764 1219137 00000000000  2 0            
N  503067    60 4711794 1218957 00000000000  2 0            
N  503067    61 4711794 1218987 00000000000  4 0            
N  503067    62 4711804 1219437 00000000000  2 0            
N  503067    63 4711854 1218387 00000000000  2 0            
N  503067    64 4711854 1219797 00000000000  2 0            
N  503067    65 4711864 1218947 00000000000  2 0            
N  503067    66 4711884 1219927 00000000000  2 0            
N  503067    67 4711894 1219547 00000000000  2 0            
N  503067    68 4711904 1218287 00000000000  2 0            
N  503067    69 4711914 1218927 00000000000  2 0            
N  503067    70 4711924 1219917 00000000000  2 0            
N  503067    71 4711934 1218907 00000000000  2 0            
N  503067    72 4711934 1219497 01000000000  2 0            
N  503067    73 4711954 1219777 00000000000  2 0            
N  503067    74 4711984 1219897 00000000000  2 0            
N  503067    75 4712004 1218237 00000000000  2 0            
N  503067    76 4712024 1219677 00000000000  2 0            
N  503067    77 4712054 1219557 00000000000  2 0            
N  503067    78 4712064 1218307 00000000000  2 0            
N  503067    79 4712074 1219787 00000000000  3 0            
N  503067    80 4712124 1218777 00000000000  2 0            
N  503067    81 4712154 1219797 00000000000  2 0            
N  503067    82 4712164 1218217 00000000000  2 0            
N  503067    83 4712184 1219807 00000000000  2 0            
N  503067    84 4712304 1218207 00000000000  2 0            
N  503067    85 4712304 1218567 00000000000  2 0            
N  503067    86 4712344 1218217 01000000000  2 0            
N  503067    87 4712344 1218517 00000000000  2 0            
N  503067    88 4712424 1218457 00000000000  2 0            
N  503067    89 4712434 1219647 00000000000  2 0            
N  503067    90 4712444 1218157 00000000000  2 0            
N  503067    91 4712464 1218187 00000000000  3 0            
N  503067    92 4712484 1218437 00000000000  2 0            
N  503067    93 4712544 1218157 00000000000  2 0            
N  503067    94 4712544 1218417 00000000000  2 0            
N  503067    95 4712564 1220017 00000000000  2 0            
N  503067    96 4712564 1220107 00000000000  2 0            
N  503067    97 4712574 1218107 00000000000  2 0            
N  503067    98 4712594 1220047 00000000000  2 0            
N  503067    99 4712604 1219777 01000000000  2 0            
N  503067   100 4712644 1219817 00000000000  2 0            
N  503067   101 4712704 1219847 00000000000  2 0            
N  503067   102 4712714 1218107 00000000000  1 0            
N  503067   103 4712934 1220097 00000000000  2 0            
N  503067   104 4712954 1219957 00000000000  2 0            
N  503067   105 4712954 1219967 00000000000  2 0            
N  503067   106 4712984 1218007 00000000000  1 0            
N  503067   107 4712994 1219957 00000000000  2 0            
N  503067   108 4712994 1220187 00000000000  2 0            
N  503067   109 4713004 1220097 00000000000  2 0            
N  503067   110 4713044 1220217 00000000000  2 0            
N  503067   111 4713094 1219927 00000000000  2 0            
N  503067   112 4713094 1220107 00000000000  2 0            
N  503067   113 4713114 1220257 00000000000  2 0            
N  503067   114 4713124 1220107 00000000000  2 0            
N  503067   115 4713154 1220127 00000000000  2 0            
N  503067   116 4713174 1218107 00000000000  2 0            
N  503067   117 4713184 1220147 00000000000  2 0            
N  503067   118 4713244 1219827 00000000000  2 0            
N  503067   119 4713294 1219797 00000000000  2 0            
N  503067   120 4713394 1218297 00000000000  2 0            
N  503067   121 4713424 1218357 00000000000  2 0            
N  503067   122 4713434 1219827 00000000000  2 0            
N  503067   123 4713434 1220367 00000000000  2 0            
N  503067   124 4713444 1218407 00000000000  2 0            
N  503067   125 4713494 1218147 00000000000  2 0            
N  503067   126 4713524 1218107 00000000000  2 0            
N  503067   127 4713564 1218067 00000000000  1 0            
N  503067   128 4713604 1220517 00000000000  2 0            
N  503067   129 4713614 1218647 00000000000  2 0            
N  503067   130 4713684 1220627 00000000000  4 0            
N  503067   131 4713694 1218717 00000000000  2 0            
N  503067   132 4713754 1220937 00000000000  1 0            
N  503067   133 4713784 1218847 00000000000  2 0            
N  503067   134 4713794 1220887 00000000000  1 0            
N  503067   135 4713824 1220537 00000000000  2 0            
N  503067   136 4713864 1220327 00000000000  2 0            
N  503067   137 4713884 1218987 00000000000  2 0            
N  503067   138 4713924 1219027 00000000000  2 0            
N  503067   139 4713954 1218407 00000000000  2 0            
N  503067   140 4713954 1220477 00000000000  4 0            
N  503067   141 4714104 1220517 00000000000  2 0            
N  503067   142 4714144 1218447 00000000000  2 0            
N  503067   143 4714164 1219127 00000000000  2 0            
N  503067   144 4714174 1220547 00000000000  2 0            
N  503067   145 4714224 1220537 00000000000  2 0            
N  503067   146 4714224 1220647 00000000000  2 0            
N  503067   147 4714344 1218507 00000000000  2 0            
N  503067   148 4714344 1220427 00000000000  2 0            
N  503067   149 4714394 1218907 00000000000  2 0            
N  503067   150 4714394 1220407 00000000000  2 0            
N  503067   151 4714534 1220857 00000000000  2 0            
N  503067   152 4714544 1219267 00000000000  2 0            
N  503067   153 4714544 1220287 00000000000  2 0            
N  503067   154 4714604 1220247 00000000000  2 0            
N  503067   155 4714664 1220997 00000000000  2 0            
N  503067   156 4714694 1220147 00000000000  2 0            
N  503067   157 4714734 1219387 00000000000  2 0            
N  503067   158 4714814 1221117 00000000000  1 1503077    80
N  503067   159 4714844 1221117 00000000000  1 1503077    83
N  503067   160 4714854 1219547 00000000000  2 0            
N  503067   161 4714904 1219987 01000000000  2 0            
N  503067   162 4714914 1219727 00000000000  2 0            
N  503067   163 4714914 1219817 00000000000  2 0            
N  503067   164 4714944 1219147 00000000000  2 0            
N  503067   165 4714974 1219317 00000000000  2 0            
N  503067   166 4714984 1220387 00000000000  2 0            
N  503067   167 4714994 1220207 00000000000  2 0            
