H  NLA       N01-07L-2K 21996  80
   14160    4188    9972       0       0       0       0
N  493047     1 4711125 1188570 00000000000  1 0            
N  493047     2 4711415 1188550 00000000000  2 1            
N  493047     3 4711495 1188560 00000000000  2 0            
N  493047     4 4711795 1188500 00000000000  2 0            
N  493047     5 4711885 1188480 00000000000  2 0            
N  493047     6 4712015 1188540 00000000000  2 0            
N  493047     7 4712115 1189130 00000000000  2 0            
N  493047     8 4712175 1188910 00000000000  2 0            
N  493047     9 4712175 1189430 00000000000  2 0            
N  493047    10 4712205 1188580 00000000000  3 0            
N  493047    11 4712225 1188560 00000000000  2 0            
N  493047    12 4712265 1188690 00000000000  2 0            
N  493047    13 4712305 1188510 00000000000  2 0            
N  493047    14 4712305 1189820 00000000000  2 0            
N  493047    15 4712355 1189860 00000000000  2 0            
N  493047    16 4712515 1190110 00000000000  2 0            
N  493047    17 4712525 1190100 00000000000  2 0            
N  493047    18 4712525 1190190 00000000000  2 0            
N  493047    19 4712555 1190240 00000000000  2 0            
N  493047    20 4712565 1190580 00000000000  2 0            
N  493047    21 4712595 1190440 00000000000  2 0            
N  493047    22 4712625 1190330 00000000000  2 0            
N  493047    23 4712645 1190510 00000000000  2 0            
N  493047    24 4712735 1188330 00000000000  2 0            
N  493047    25 4712825 1188250 00000000000  2 0            
N  493047    26 4712825 1190560 00000000000  2 0            
N  493047    27 4712915 1190530 00000000000  2 0            
N  493047    28 4712985 1188160 00000000000  2 0            
N  493047    29 4713095 1188120 00000000000  2 1            
N  493047    30 4713125 1188120 00000000000  2 1            
N  493047    31 4713305 1188160 00000000000  2 0            
N  493047    32 4713395 1190630 00000000000  2 0            
N  493047    33 4713455 1188160 00000000000  2 0            
N  493047    34 4713635 1188140 00000000000  2 0            
N  493047    35 4713655 1188270 00000000000  2 0            
N  493047    36 4713685 1190850 00000000000  2 0            
N  493047    37 4713735 1188240 00000000000  2 0            
N  493047    38 4713755 1188190 00000000000  2 0            
N  493047    39 4713825 1188290 00000000000  2 0            
N  493047    40 4713824 1190920 00000000000  2 0            
N  493047    41 4713855 1188200 00000000000  2 0            
N  493047    42 4713874 1190940 00000000000  2 0            
N  493047    43 4713885 1188180 00000000000  2 0            
N  493047    44 4713925 1188310 00000000000  2 0            
N  493047    45 4713974 1190990 00000000000  2 0            
N  493047    46 4714004 1191000 00000000000  1 0            
N  493047    47 4714055 1188330 00000000000  2 0            
N  493047    48 4714155 1188350 00000000000  2 0            
N  493047    49 4714285 1188280 00000000000  2 0            
N  493047    50 4714465 1188230 00000000000  2 0            
N  493047    51 4714625 1188220 00000000000  2 0            
N  493047    52 4714755 1188290 00000000000  3 0            
N  493047    53 4714934 1188320 00000000000  2 0            
N  493047    54 4715074 1188280 00000000000  2 0            
N  493047    55 4715214 1188260 00000000000  2 0            
N  493047    56 4715264 1188210 00000000000  2 0            
N  493047    57 4715334 1188150 00000000000  2 0            
N  493047    58 4715384 1188200 00000000000  2 0            
N  493047    59 4715404 1188150 00000000000  2 0            
N  493047    60 4715434 1189220 00000000000  2 0            
N  493047    61 4715464 1189140 00000000000  2 0            
N  493047    62 4715484 1189360 00000000000  2 0            
N  493047    63 4715524 1188160 00000000000  2 0            
N  493047    64 4715544 1189990 00000000000  2 0            
N  493047    65 4715544 1190030 00000000000  2 0            
N  493047    66 4715584 1190790 00000000000  2 0            
N  493047    67 4715584 1191040 00000000000  1 0            
N  493047    68 4715614 1189420 00000000000  2 0            
N  493047    69 4715634 1190640 00000000000  2 0            
