H  NLA       N01-07L-2K 21996  80
    9529    2946    6583       0       0       0       0
N  523853     1 4981358 1263268 00000000000  2 0            
N  523853     2 4981388 1263288 00000000000  4 1            
N  523853     3 4981388 1263498 00000000000  1 1523852    32
N  523853     4 4981478 1263368 00000000000  4 0            
N  523853     5 4981478 1263418 00000000000  3 0            
N  523853     6 4981498 1263388 00000000000  5 0            
N  523853     7 4981538 1263318 00000000000  2 0            
N  523853     8 4984508 1263368 00000000000  2 0            
N  523853     9 4984518 1263208 00000000000  2 0            
N  523853    10 4984518 1263478 00000000000  2 0            
N  523853    11 4984578 1263178 00000000000  2 0            
N  523853    12 4984598 1263108 00000000000  2 0            
N  523853    13 4984608 1263068 00000000000  1 0            
N  523853    14 4984838 1263778 00000000000  2 0            
N  523853    15 4985058 1263838 00000000000  2 0            
N  523853    16 4985218 1263878 00000000000  2 0            
N  523853    17 4985238 1263898 00000000000  2 0            
N  523853    18 4985248 1263938 00000000000  2 0            
N  523853    19 4985598 1263908 00000000000  2 0            
N  523853    20 4985628 1263858 00000000000  2 0            
N  523853    21 4985628 1263898 00000000000  2 0            
N  523853    22 4985858 1263648 00000000000  1 0            
N  523853    23 4981546 1263118 00000000000  1 1523843   121
N  523863     1 4985228 1269077 00000000000  1 0            
N  523863     2 4985508 1268667 00000000000  2 0            
N  523863     3 4985538 1268637 00000000000  2 0            
N  523863     4 4985648 1268907 00000000000  1 0            
N  523863     5 4985688 1268887 00000000000  2 0            
N  523863     6 4985888 1268537 00000000000  1 1523864     1
N  523863     7 4985888 1268697 00000000000  1 1523864     2
N  523864     1 4985888 1268537 00000000000  1 1523863     6
N  523864     2 4985888 1268697 00000000000  1 1523863     7
N  523864     3 4986018 1268747 00000000000  2 0            
N  523864     4 4986048 1268587 00000000000  2 0            
N  523864     5 4986158 1268547 00000000000  2 0            
N  523864     6 4986198 1268677 00000000000  2 0            
N  523864     7 4986238 1268437 00000000000  2 0            
N  523864     8 4986238 1268697 00000000000  2 0            
N  523864     9 4986278 1268257 00000000000  2 0            
N  523864    10 4986278 1268707 00000000000  2 0            
N  523864    11 4986318 1268717 00000000000  2 0            
N  523864    12 4986388 1268477 00000000000  2 0            
N  523864    13 4986388 1268647 00000000000  2 0            
N  523864    14 4986438 1268107 00000000000  2 0            
N  523864    15 4986458 1268317 00000000000  2 0            
N  523864    16 4986498 1268117 00000000000  2 0            
N  523864    17 4986528 1267937 00000000000  2 0            
N  523864    18 4986538 1268007 00000000000  2 0            
N  523864    19 4986558 1267437 00000000000  2 0            
N  523864    20 4986558 1268297 00000000000  2 0            
N  523864    21 4986578 1267337 00000000000  2 0            
N  523864    22 4986578 1267887 00000000000  2 0            
N  523864    23 4986588 1267527 00000000000  2 0            
N  523864    24 4986618 1268277 00000000000  2 0            
N  523864    25 4986628 1267807 00000000000  2 0            
N  523864    26 4986628 1268207 00000000000  2 0            
N  523864    27 4986638 1268157 00000000000  2 0            
N  523864    28 4986638 1268197 00000000000  2 0            
N  523864    29 4986638 1268257 00000000000  2 0            
N  523864    30 4986648 1268067 00000000000  1 0            
N  523864    31 4986648 1268097 00000000000  4 0            
N  523864    32 4986648 1268237 00000000000  2 0            
N  523864    33 4986668 1267697 00000000000  4 0            
N  523864    34 4986668 1268077 00000000000  2 0            
N  523864    35 4986708 1267697 00000000000  2 0            
N  523864    36 4986788 1267177 00000000000  2 0            
N  523864    37 4986808 1266097 00000000000  1 0            
N  523864    38 4986808 1266437 00000000000  2 0            
N  523864    39 4986818 1266117 00000000000  2 1            
N  523864    40 4986828 1266317 00000000000  2 0            
N  523864    41 4986858 1266457 00000000000  2 0            
N  523864    42 4986868 1267717 00000000000  2 0            
N  523864    43 4986898 1266497 00000000000  2 0            
N  523864    44 4986918 1267137 00000000000  2 0            
N  523864    45 4986938 1267127 00000000000  2 0            
N  523864    46 4986998 1267767 00000000000  2 0            
N  523864    47 4987008 1266787 00000000000  2 0            
N  523864    48 4987108 1268127 00000000000  2 0            
N  523864    49 4987168 1269117 00000000000  1 1523874     1
