H  NLA       N01-07L-2K 21996  80
   14799    4450   10349       0       0       0       0
N  583957     1 5035378 1408022 00000000000  2 1            
N  583957     2 5035378 1408202 00000000000  2 1            
N  583957     3 5035438 1407102 00000000000  1 1583947     6
N  583957     4 5035448 1407122 00000000000  2 0            
N  583957     5 5035468 1408252 00000000000  2 0            
N  583957     6 5035588 1408322 00000000000  2 0            
N  583957     7 5035648 1407522 00000000000  2 0            
N  583957     8 5035788 1408642 00000000000  2 0            
N  583957     9 5035838 1408942 00000000000  2 0            
N  583957    10 5035838 1409052 00000000000  2 0            
N  583957    11 5035878 1408762 00000000000  2 0            
N  583957    12 5035878 1409212 00000000000  2 0            
N  583957    13 5036088 1409412 00000000000  2 0            
N  583957    14 5036318 1409602 00000000000  2 0            
N  583957    15 5036388 1409752 00000000000  2 0            
N  583957    16 5036388 1409772 00000000000  2 0            
N  583957    17 5036468 1409942 00000000000  1 0            
N  583967     1 5036388 1411612 00000000000  2 0            
N  583967     2 5036388 1411642 00000000000  2 0            
N  583967     3 5036398 1411682 00000000000  2 0            
N  583967     4 5036408 1411452 00000000000  2 0            
N  583967     5 5036418 1411782 00000000000  2 0            
N  583967     6 5036458 1411962 00000000000  2 0            
N  583967     7 5036468 1409942 00000000000  1 0            
N  583967     8 5036518 1411272 00000000000  2 0            
N  583967     9 5036568 1410102 00000000000  2 1            
N  583967    10 5036568 1411222 00000000000  2 0            
N  583967    11 5036578 1410142 00000000000  2 0            
N  583967    12 5036628 1411162 00000000000  3 0            
N  583967    13 5036648 1411162 00000000000  2 0            
N  583967    14 5036688 1410892 00000000000  2 0            
N  583967    15 5036698 1411012 00000000000  2 0            
N  583967    16 5036718 1410652 00000000000  2 0            
N  583967    17 5036738 1410692 00000000000  2 0            
N  583967    18 5036768 1412481 00000000000  2 0            
N  583967    19 5036788 1412531 00000000000  1 0            
N  583967    20 5036808 1412561 00000000000  1 0            
N  583967    21 5036878 1411072 00000000000  2 0            
N  583967    22 5037188 1412781 00000000000  1 0            
N  583967    23 5037298 1410942 00000000000  2 0            
N  583967    24 5037638 1410912 00000000000  2 0            
N  583967    25 5037978 1410842 00000000000  2 0            
N  583967    26 5038028 1410822 00000000000  2 0            
N  583967    27 5038088 1410902 00000000000  2 0            
N  583967    28 5038208 1410972 00000000000  2 0            
N  583967    29 5038488 1411052 00000000000  2 0            
N  583967    30 5038558 1410982 00000000000  2 0            
N  583967    31 5038758 1410922 00000000000  2 0            
N  583967    32 5039228 1410862 00000000000  2 0            
N  583967    33 5039577 1410782 00000000000  2 0            
N  583967    34 5039637 1410752 00000000000  1 0            
