# label, type1, x1, y1, type2, x2, y2, ...
11_2_å|îıê¸_êºì˙ñ{ó∑ãqìSìπ,0,-116146.234,-3873937.2,1,-116115.98,-3873940.2,1,-116098.78,-3873943.0,1,-116050.32,-3873948.5
11_2_å|îıê¸_êºì˙ñ{ó∑ãqìSìπ,0,-116050.32,-3873948.5,1,-115939.83,-3873958.2,1,-115901.74,-3873960.8,1,-115873.66,-3873964.5,1,-115852.64,-3873966.2,1,-115825.336,-3873969.2,1,-115790.305,-3873973.2,1,-115761.62,-3873976.2,1,-115742.57,-3873977.8,1,-115701.2,-3873982.2,1,-115615.92,-3873992.5,1,-115578.4,-3873996.2,1,-115536.76,-3874003.5,1,-115529.77,-3874004.2,1,-115520.82,-3874006.8,1,-115414.32,-3874049.2,1,-115356.555,-3874072.2,1,-115339.336,-3874079.5,1,-115327.93,-3874084.2,1,-115279.836,-3874107.8,1,-115240.44,-3874127.2,1,-115194.44,-3874143.2,1,-115177.04,-3874149.0,1,-115168.73,-3874150.2,1,-115147.55,-3874154.5,1,-115115.18,-3874157.2,1,-115079.7,-3874158.2,1,-114993.08,-3874159.2,1,-114967.78,-3874160.0,1,-114863.92,-3874163.2,1,-114780.34,-3874165.8,1,-114762.51,-3874168.2,1,-114752.27,-3874170.8,1,-114727.36,-3874175.5,1,-114692.47,-3874185.8,1,-114684.586,-3874190.0,1,-114666.98,-3874199.0,1,-114634.76,-3874217.8,1,-114581.87,-3874252.2,1,-114570.086,-3874259.8,1,-114544.64,-3874282.2,1,-114535.8,-3874290.0,1,-114503.22,-3874323.8,1,-114496.336,-3874332.5,1,-114483.3,-3874356.2,1,-114458.25,-3874411.2,1,-114443.57,-3874459.5,1,-114417.05,-3874535.5,1,-114376.63,-3874639.2,1,-114366.086,-3874664.2,1,-114362.33,-3874673.5,1,-114351.695,-3874699.8,1,-114324.0,-3874765.5,1,-114310.9,-3874799.8,1,-114291.66,-3874851.2,1,-114277.516,-3874883.0,1,-114256.734,-3874929.8,1,-114231.97,-3874989.0,1,-114212.06,-3875031.0,1,-114184.2,-3875079.8,1,-114159.33,-3875121.5,1,-114146.625,-3875141.2,1,-114116.49,-3875182.8,1,-114107.63,-3875195.0,1,-114088.47,-3875217.5,1,-114076.34,-3875228.8,1,-114052.54,-3875244.8,1,-114011.4,-3875267.0,1,-113986.9,-3875276.5,1,-113947.72,-3875287.5,1,-113888.08,-3875294.5,1,-113853.1,-3875292.2,1,-113804.47,-3875279.8,1,-113780.44,-3875270.0,1,-113769.445,-3875264.2,1,-113737.3,-3875244.5,1,-113716.9,-3875228.8,1,-113694.51,-3875204.0,1,-113688.75,-3875196.0,1,-113643.914,-3875139.2,1,-113614.516,-3875106.0,1,-113576.81,-3875075.2,1,-113555.61,-3875062.0,1,-113534.016,-3875053.0,1,-113527.84,-3875051.2,1,-113515.44,-3875047.5,1,-113489.32,-3875041.2,1,-113439.7,-3875038.0,1,-113397.98,-3875038.5,1,-113394.03,-3875039.5,1,-113380.14,-3875039.8,1,-113331.836,-3875044.5,1,-113318.58,-3875045.0,1,-113243.51,-3875052.0,1,-113226.14,-3875053.2,1,-113183.88,-3875056.2,1,-113136.17,-3875061.8,1,-113070.5,-3875070.5,1,-113044.336,-3875073.2,1,-113009.445,-3875076.8,1,-112964.47,-3875077.5,1,-112930.11,-3875075.5,1,-112901.82,-3875068.5,1,-112876.85,-3875060.2,1,-112852.29,-3875048.8,1,-112778.37,-3875008.0,1,-112750.55,-3874990.0,1,-112731.91,-3874975.5,1,-112711.28,-3874953.5,1,-112685.695,-3874919.8,1,-112660.06,-3874878.8,1,-112652.7,-3874865.5,1,-112631.12,-3874835.8,1,-112617.85,-3874817.0,1,-112600.33,-3874798.2,1,-112557.42,-3874758.2,1,-112527.83,-3874739.0,1,-112508.3,-3874728.2,1,-112488.766,-3874718.8,1,-112441.9,-3874700.8,1,-112407.445,-3874687.8,1,-112369.13,-3874674.5,1,-112360.27,-3874671.5,1,-112315.83,-3874655.8,1,-112303.09,-3874651.2,1,-112292.54,-3874648.8,1,-112252.12,-3874638.0,1,-112239.68,-3874636.0,1,-112186.84,-3874632.5,1,-112162.195,-3874633.2,1,-112127.69,-3874637.8,1,-112105.9,-3874644.2,1,-112051.04,-3874669.8,1,-112018.836,-3874688.5,1,-111976.03,-3874714.8,1,-111959.97,-3874728.2,1,-111937.97,-3874746.5,1,-111904.4,-3874773.0,1,-111883.22,-3874789.8,1,-111832.75,-3874827.0,1,-111798.2,-3874853.0,1,-111736.0,-3874896.0,1,-111694.195,-3874917.0,1,-111683.74,-3874921.5,1,-111663.086,-3874927.5,1,-111619.07,-3874934.8,1,-111603.086,-3874937.2,1,-111528.26,-3874952.0,1,-111501.98,-3874956.5,1,-111457.8,-3874966.0,1,-111401.97,-3874979.8,1,-111374.16,-3874989.2,1,-111359.98,-3874994.0,1,-111326.09,-3875008.8,1,-111305.016,-3875021.2,1,-111277.67,-3875043.2,1,-111253.336,-3875067.2,1,-111225.32,-3875099.2,1,-111159.86,-3875181.5,1,-111135.664,-3875213.0,1,-111125.836,-3875227.5,1,-111078.555,-3875292.0
11_2_å|îıê¸_êºì˙ñ{ó∑ãqìSìπ,0,-116270.88,-3873938.8,1,-116266.26,-3873941.5,1,-116261.16,-3873943.0,1,-116259.09,-3873945.0,1,-116248.81,-3873948.0,1,-116201.69,-3873953.0,1,-116166.14,-3873956.2,1,-116148.9,-3873958.2,1,-116140.11,-3873958.2,1,-116115.97,-3873959.8,1,-116108.93,-3873961.2,1,-116072.19,-3873963.2,1,-116062.266,-3873959.5,1,-116050.32,-3873948.5
11_2_å|îıê¸_êºì˙ñ{ó∑ãqìSìπ,0,-116050.32,-3873948.5,1,-115939.83,-3873958.2,1,-115901.74,-3873960.8,1,-115873.66,-3873964.5,1,-115852.64,-3873966.2,1,-115825.336,-3873969.2,1,-115790.305,-3873973.2,1,-115761.62,-3873976.2,1,-115742.57,-3873977.8,1,-115701.2,-3873982.2,1,-115615.92,-3873992.5,1,-115578.4,-3873996.2,1,-115536.76,-3874003.5,1,-115529.77,-3874004.2,1,-115520.82,-3874006.8,1,-115414.32,-3874049.2,1,-115356.555,-3874072.2,1,-115339.336,-3874079.5,1,-115327.93,-3874084.2,1,-115279.836,-3874107.8,1,-115240.44,-3874127.2,1,-115194.44,-3874143.2,1,-115177.04,-3874149.0,1,-115168.73,-3874150.2,1,-115147.55,-3874154.5,1,-115115.18,-3874157.2,1,-115079.7,-3874158.2,1,-114993.08,-3874159.2,1,-114967.78,-3874160.0,1,-114863.92,-3874163.2,1,-114780.34,-3874165.8,1,-114762.51,-3874168.2,1,-114752.27,-3874170.8,1,-114727.36,-3874175.5,1,-114692.47,-3874185.8,1,-114684.586,-3874190.0,1,-114666.98,-3874199.0,1,-114634.76,-3874217.8,1,-114581.87,-3874252.2,1,-114570.086,-3874259.8,1,-114544.64,-3874282.2,1,-114535.8,-3874290.0,1,-114503.22,-3874323.8,1,-114496.336,-3874332.5,1,-114483.3,-3874356.2,1,-114458.25,-3874411.2,1,-114443.57,-3874459.5,1,-114417.05,-3874535.5,1,-114376.63,-3874639.2,1,-114366.086,-3874664.2,1,-114362.33,-3874673.5,1,-114351.695,-3874699.8,1,-114324.0,-3874765.5,1,-114310.9,-3874799.8,1,-114291.66,-3874851.2,1,-114277.516,-3874883.0,1,-114256.734,-3874929.8,1,-114231.97,-3874989.0,1,-114212.06,-3875031.0,1,-114184.2,-3875079.8,1,-114159.33,-3875121.5,1,-114146.625,-3875141.2,1,-114116.49,-3875182.8,1,-114107.63,-3875195.0,1,-114088.47,-3875217.5,1,-114076.34,-3875228.8,1,-114052.54,-3875244.8,1,-114011.4,-3875267.0,1,-113986.9,-3875276.5,1,-113947.72,-3875287.5,1,-113888.08,-3875294.5,1,-113853.1,-3875292.2,1,-113804.47,-3875279.8,1,-113780.44,-3875270.0,1,-113769.445,-3875264.2,1,-113737.3,-3875244.5,1,-113716.9,-3875228.8,1,-113694.51,-3875204.0,1,-113688.75,-3875196.0,1,-113643.914,-3875139.2,1,-113614.516,-3875106.0,1,-113576.81,-3875075.2,1,-113555.61,-3875062.0,1,-113534.016,-3875053.0,1,-113527.84,-3875051.2,1,-113515.44,-3875047.5,1,-113489.32,-3875041.2,1,-113439.7,-3875038.0,1,-113397.98,-3875038.5,1,-113394.03,-3875039.5,1,-113380.14,-3875039.8,1,-113331.836,-3875044.5,1,-113318.58,-3875045.0,1,-113243.51,-3875052.0,1,-113226.14,-3875053.2,1,-113183.88,-3875056.2,1,-113136.17,-3875061.8,1,-113070.5,-3875070.5,1,-113044.336,-3875073.2,1,-113009.445,-3875076.8,1,-112964.47,-3875077.5,1,-112930.11,-3875075.5,1,-112901.82,-3875068.5,1,-112876.85,-3875060.2,1,-112852.29,-3875048.8,1,-112778.37,-3875008.0,1,-112750.55,-3874990.0,1,-112731.91,-3874975.5,1,-112711.28,-3874953.5,1,-112685.695,-3874919.8,1,-112660.06,-3874878.8,1,-112652.7,-3874865.5,1,-112631.12,-3874835.8,1,-112617.85,-3874817.0,1,-112600.33,-3874798.2,1,-112557.42,-3874758.2,1,-112527.83,-3874739.0,1,-112508.3,-3874728.2,1,-112488.766,-3874718.8,1,-112441.9,-3874700.8,1,-112407.445,-3874687.8,1,-112369.13,-3874674.5,1,-112360.27,-3874671.5,1,-112315.83,-3874655.8,1,-112303.09,-3874651.2,1,-112292.54,-3874648.8,1,-112252.12,-3874638.0,1,-112239.68,-3874636.0,1,-112186.84,-3874632.5,1,-112162.195,-3874633.2,1,-112127.69,-3874637.8,1,-112105.9,-3874644.2,1,-112051.04,-3874669.8,1,-112018.836,-3874688.5,1,-111976.03,-3874714.8,1,-111959.97,-3874728.2,1,-111937.97,-3874746.5,1,-111904.4,-3874773.0,1,-111883.22,-3874789.8,1,-111832.75,-3874827.0,1,-111798.2,-3874853.0,1,-111736.0,-3874896.0,1,-111694.195,-3874917.0,1,-111683.74,-3874921.5,1,-111663.086,-3874927.5,1,-111619.07,-3874934.8,1,-111603.086,-3874937.2,1,-111528.26,-3874952.0,1,-111501.98,-3874956.5,1,-111457.8,-3874966.0,1,-111401.97,-3874979.8,1,-111374.16,-3874989.2,1,-111359.98,-3874994.0,1,-111326.09,-3875008.8,1,-111305.016,-3875021.2,1,-111277.67,-3875043.2,1,-111253.336,-3875067.2,1,-111225.32,-3875099.2,1,-111159.86,-3875181.5,1,-111135.664,-3875213.0,1,-111125.836,-3875227.5,1,-111078.555,-3875292.0
11_2_å|îıê¸_êºì˙ñ{ó∑ãqìSìπ,0,-121840.27,-3870649.5,1,-121790.805,-3870688.8
11_2_å|îıê¸_êºì˙ñ{ó∑ãqìSìπ,0,-117876.21,-3873278.8,1,-117869.17,-3873309.2,1,-117865.47,-3873320.2,1,-117857.695,-3873334.0,1,-117834.18,-3873374.5,1,-117806.664,-3873417.8,1,-117790.875,-3873436.8,1,-117752.67,-3873472.5,1,-117715.17,-3873499.5,1,-117665.766,-3873530.0,1,-117644.766,-3873541.2,1,-117583.73,-3873566.0,1,-117511.32,-3873590.5,1,-117449.805,-3873611.5,1,-117414.31,-3873623.8,1,-117319.19,-3873656.2,1,-117028.586,-3873760.0,1,-116996.945,-3873771.2,1,-116960.08,-3873784.5,1,-116844.82,-3873826.5,1,-116829.19,-3873832.0,1,-116818.41,-3873835.5,1,-116743.23,-3873860.2,1,-116632.15,-3873885.5,1,-116511.54,-3873903.8,1,-116268.375,-3873929.2,1,-116256.33,-3873929.8,1,-116220.83,-3873932.2
11_2_å|îıê¸_êºì˙ñ{ó∑ãqìSìπ,0,-108106.61,-3879000.0,1,-108117.97,-3878986.2,1,-108160.89,-3878933.8,1,-108179.555,-3878908.8,1,-108211.76,-3878863.2,1,-108261.59,-3878805.5,1,-108296.445,-3878774.5,1,-108335.516,-3878737.0,1,-108374.77,-3878706.5,1,-108418.586,-3878674.2,1,-108455.81,-3878646.5,1,-108484.89,-3878626.0,1,-108527.38,-3878595.5,1,-108775.14,-3878401.2,1,-108821.266,-3878371.8,1,-108850.68,-3878356.0,1,-108884.41,-3878342.0,1,-108886.49,-3878341.2,1,-108917.39,-3878330.8,1,-108924.41,-3878329.5,1,-108930.28,-3878327.2,1,-108943.04,-3878324.5,1,-108973.234,-3878316.2,1,-109016.92,-3878305.5,1,-109060.42,-3878287.8,1,-109112.086,-3878259.8,1,-109151.625,-3878234.8,1,-109179.78,-3878211.5,1,-109234.82,-3878162.0,1,-109280.164,-3878126.0,1,-109288.21,-3878119.0,1,-109366.56,-3878050.8,1,-109384.49,-3878037.0,1,-109502.65,-3877941.2,1,-109516.17,-3877929.8,1,-109554.79,-3877896.5,1,-109626.12,-3877822.8,1,-109729.305,-3877723.0,1,-109774.95,-3877671.5,1,-109806.91,-3877637.2,1,-109856.79,-3877580.5,1,-109867.74,-3877568.5,1,-109870.516,-3877564.5,1,-109946.56,-3877475.2,1,-109959.41,-3877451.8,1,-110004.766,-3877358.8,1,-110031.05,-3877305.2,1,-110045.08,-3877275.0,1,-110046.36,-3877273.8,1,-110078.06,-3877207.0,1,-110108.664,-3877134.5,1,-110109.875,-3877131.5,1,-110120.69,-3877105.0,1,-110128.07,-3877089.8,1,-110152.836,-3877030.0,1,-110174.42,-3876982.0,1,-110179.11,-3876968.5,1,-110209.555,-3876899.8,1,-110260.336,-3876780.8,1,-110278.375,-3876738.8,1,-110283.58,-3876726.0,1,-110301.445,-3876685.0,1,-110327.71,-3876622.2,1,-110334.53,-3876605.8,1,-110365.234,-3876533.2,1,-110389.83,-3876476.0,1,-110417.73,-3876409.2,1,-110433.33,-3876373.5,1,-110454.59,-3876319.0,1,-110477.36,-3876261.8,1,-110503.97,-3876209.0,1,-110528.234,-3876161.0,1,-110552.23,-3876114.2,1,-110583.64,-3876058.8,1,-110614.09,-3876002.2,1,-110672.69,-3875906.5,1,-110694.73,-3875869.8,1,-110729.79,-3875808.2,1,-110806.74,-3875676.5,1,-110837.516,-3875632.2,1,-110867.34,-3875590.8,1,-110880.59,-3875571.0,1,-110920.62,-3875511.2,1,-110948.805,-3875472.5,1,-110954.02,-3875466.2,1,-110981.16,-3875428.0,1,-111031.54,-3875354.0
11_2_å|îıê¸_êºì˙ñ{ó∑ãqìSìπ,0,-119081.82,-3872152.0,1,-119137.66,-3872107.2
11_2_å|îıê¸_êºì˙ñ{ó∑ãqìSìπ,0,-111078.555,-3875292.0,1,-111031.54,-3875354.0
11_2_å|îıê¸_êºì˙ñ{ó∑ãqìSìπ,0,-119137.66,-3872107.2,1,-119389.266,-3871905.2,1,-119422.55,-3871884.8,1,-119475.29,-3871861.2,1,-119874.19,-3871716.8,1,-120372.586,-3871536.2,1,-120575.375,-3871462.0,1,-120689.46,-3871420.8,1,-120793.586,-3871385.8,1,-120833.17,-3871370.8,1,-120958.71,-3871329.8,1,-120993.016,-3871312.2,1,-121028.92,-3871290.0,1,-121071.02,-3871262.8,1,-121172.95,-3871186.2,1,-121437.414,-3870973.0,1,-121659.44,-3870795.2,1,-121689.08,-3870771.5,1,-121692.375,-3870769.2,1,-121790.805,-3870688.8
