# label, type1, x1, y1, type2, x2, y2, ...
ï ï{àÍÇÃã{ê¸,0,-290330.8,-3706024.2,1,-290409.3,-3706030.5,1,-290532.66,-3706133.5,1,-290585.0,-3706137.5
çëìπ210çÜ,0,-286330.56,-3707319.5,1,-286390.28,-3707231.2,1,-286473.72,-3707175.8,1,-286606.94,-3707155.5,1,-286633.1,-3707157.5,1,-286661.75,-3707128.8,1,-286690.38,-3707100.0,1,-286692.84,-3707069.0,1,-286697.78,-3707007.5
ï ï{àÍÇÃã{ê¸,0,-286340.62,-3705551.8,1,-286314.47,-3705549.5,1,-286231.06,-3705605.0,1,-286121.5,-3705658.5
ï ï{àÍÇÃã{ê¸,0,-290854.03,-3701814.2,1,-290613.5,-3701857.2,1,-290579.9,-3701947.5,1,-290472.72,-3701970.0,1,-290410.47,-3702089.2,1,-290179.88,-3702008.8,1,-289999.16,-3701963.5,1,-289910.72,-3702080.5,1,-289919.53,-3702298.5
ï ï{àÍÇÃã{ê¸,0,-282548.16,-3706896.0,1,-282391.25,-3706883.5,1,-282307.88,-3706939.0
ï ï{àÍÇÃã{ê¸,0,-286121.5,-3705658.5,1,-285776.47,-3705693.0,1,-285693.06,-3705748.5,1,-285414.22,-3705943.8,1,-285311.06,-3706245.8,1,-285175.34,-3706297.0
ï ï{àÍÇÃã{ê¸,0,-288164.72,-3706441.2,1,-288086.25,-3706435.0,1,-288057.62,-3706463.8
ï ï{àÍÇÃã{ê¸,0,-282234.06,-3707864.0,1,-281911.34,-3707621.2,1,-281908.88,-3707652.0,1,-281932.56,-3707685.0,1,-281903.97,-3707713.8,1,-281801.8,-3707674.8,1,-281723.38,-3707668.5,1,-281644.94,-3707662.2,1,-281621.25,-3707629.5
ï ï{àÍÇÃã{ê¸,0,-283093.62,-3708304.2,1,-282686.62,-3708458.2,1,-282634.3,-3708454.0,1,-282584.47,-3708419.0
ï ï{àÍÇÃã{ê¸,0,-282307.88,-3706939.0,1,-282248.2,-3707027.2,1,-281971.9,-3707191.8,1,-281891.0,-3707216.2,1,-281810.1,-3707241.0,1,-281776.56,-3707331.5,1,-281721.8,-3707358.0,1,-281729.2,-3707265.5,1,-281577.2,-3707191.5
çëìπ210çÜ,0,-289764.25,-3706848.0,1,-289662.12,-3706808.8
